,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,original_tags
"fig|536231.75.peg.2111   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,0,0,23,18,2,0,2,0,12,0,0,"fig|536231.75.peg.2111   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02000,7542,5536,5247,17599,20669,8952,36485.731,36521.253,17515,14777,6149,13540,"fig|536231.75.peg.2112|RIL182_02000   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02001,412,368,377,97,49,49,1072,685,67,100,12,50,"fig|536231.75.peg.2113|RIL182_02001   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02002,6,26,2,0,0,2,2,2,5,0,0,0,"fig|536231.75.peg.2114|RIL182_02002   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02003,0,2,15,0,0,0,3,0,5,0,0,20,"fig|536231.75.peg.2115|RIL182_02003   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02004,8,10.026,6,0,9,19,0,5,5,0,0,0,"fig|536231.75.peg.2116|RIL182_02004   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02005,1865,1447,1346,6933,2802,3026.001,1506,1907,1746,2028,1668,1242,"fig|536231.75.peg.2117|RIL182_02005   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02006,14,29,17,70,43,43,51,42,2,3,0,0,"fig|536231.75.peg.2118|RIL182_02006   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2119   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2119   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02007,16416,11614.822,13891,3471,3261,2462,19361.008,12884.588,3297,663,1114,1552,"fig|536231.75.peg.2120|RIL182_02007   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02008,418,324,331,47,67,66,284,193,62,35,44,16,"fig|536231.75.peg.2121|RIL182_02008   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02009,24,61.22,56,57.441,29,36,80.727,105.947,18,7,16,0,"fig|536231.75.peg.2122|RIL182_02009   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02010,233,222.78,138,228.559,153.294,135,393.273,604.914,338,225,92,201,"fig|536231.75.peg.2123|RIL182_02010   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02011,52,21,30,7,35.706,11,83,83.139,22,0,22,7,"fig|536231.75.peg.2124|RIL182_02011   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02012,40,31,32,61,28,23,70,104,39,0,0,1,"fig|536231.75.peg.2125|RIL182_02012   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02013,50,39,23,9,3,7,60,86,1,8,0,12,"fig|536231.75.peg.2126|RIL182_02013   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02014,42,33,28,41,31,26,117,234,126,55,0,48,"fig|536231.75.peg.2127|RIL182_02014   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02015,99,68,62,98,0,30,98,213,87,54,28,38,"fig|536231.75.peg.2128|RIL182_02015   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02016,645,572,517,419,404,307,1203,1543,902,359,220,370,"fig|536231.75.peg.2129|RIL182_02016   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02017,1468,974,897,563,455,389,1067,1388,810,195,167,238,"fig|536231.75.peg.2130|RIL182_02017   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02018,5,0,0,4,0,0,0,1,0,0,0,0,"fig|536231.75.peg.2131|RIL182_02018   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02019,45,56.184,42,145,136,62,25,20,57,69,12,15,"fig|536231.75.peg.2132|RIL182_02019   Rlx-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02020,5249,3723,4747,2609,6194,3610,13039.006,10281.389,1436,386,386,980,"fig|536231.75.peg.2133|RIL182_02020   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02021,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2134|RIL182_02021   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02022,310,248,184,400,249.037,180,62,100,86,7,29,38,"fig|536231.75.peg.2135|RIL182_02022   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02024,282,209,240,88,127,133,165,216,58,45,44,56,"fig|536231.75.peg.2137|RIL182_02024   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2138   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,3,6,13,0,5,"fig|536231.75.peg.2138   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02025,85,111.001,45,227.563,304,130.344,273.001,547,485,308,79,120,"fig|536231.75.peg.2139|RIL182_02025   Transposase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02026,162,110.999,107,318.437,75,171.656,313.999,445,328,199,154,120,"fig|536231.75.peg.2140|RIL182_02026   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02027,17,12,16,63,11,7,58,97,36,9,0,10,"fig|536231.75.peg.2141|RIL182_02027   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02028,705,562,723,538,1091,607,1363,1490.001,680,297,107,523,"fig|536231.75.peg.2142|RIL182_02028   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02029,142,84,121,54,88,84,383,547,109,5,0,23,"fig|536231.75.peg.2143|RIL182_02029   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02030,1395,991,1268,1637,1472,1130,880,1607,950,252,153,320,"fig|536231.75.peg.2144|RIL182_02030   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02031,5,10,14,39,45,13,2,13,17,0,0,0,"fig|536231.75.peg.2145|RIL182_02031   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02032,485,449,274,916,739,576.115,100,157,161,90,89,43,"fig|536231.75.peg.2146|RIL182_02032   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02033,34,9,19,77,6,51,11,8,22,2,0,3,"fig|536231.75.peg.2147|RIL182_02033   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02034,69,46,61,49,26,4,33,27,6,15,0,0,"fig|536231.75.peg.2148|RIL182_02034   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02035,3,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2149|RIL182_02035   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02036,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2150|RIL182_02036   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02037,129,124,103,210,379,105,61,116,46,47,0,58,"fig|536231.75.peg.2151|RIL182_02037   DNA topoisomerase III (EC 5.99.1.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02038,150,124,117,112,66,72,32,33,55,20,8,0,"fig|536231.75.peg.2152|RIL182_02038   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02039,13,6,5,0,1,0,0,2,0,0,0,0,"fig|536231.75.peg.2153|RIL182_02039   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02040,149,152.013,124,203,98,132,49,71,50,30,1,22,"fig|536231.75.peg.2154|RIL182_02040   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02041,377,281,204,160,160,160,108,142,142,54,0,51,"fig|536231.75.peg.2155|RIL182_02041   TrsE-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02042,34,54,45,59.228,15,28.693,36,22,7,23,0,0,"fig|536231.75.peg.2156|RIL182_02042   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02043,206,183,163.198,166.772,241,143.307,98,139,159,100,144,40,"fig|536231.75.peg.2157|RIL182_02043   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02044,4084.371,3212,3258,8580,3500,4407.79,3256,6384.03,6545,3655.041,2672,2815,"fig|536231.75.peg.2158|RIL182_02044   Site-specific recombinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02045,12,6,4,33,1,22,3,1,15,9,0,0,"fig|536231.75.peg.2159|RIL182_02045   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02046,109,111,72,341,274,255,20,40,54,25,24,22,"fig|536231.75.peg.2160|RIL182_02046   Helicase loader DnaI   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02047,67,55,34,124,46,48,6,19,28,17,0,6,"fig|536231.75.peg.2161|RIL182_02047   FIG00515839: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2162   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",5,5,3,121,47,94,9,7,2,0,0,4,"fig|536231.75.peg.2162   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02048,252,240.334,134,1568,904.909,879.86,62,91,128.458,138,188,113,"fig|536231.75.peg.2163|RIL182_02048   FIG00514472: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02049,31,21,6,149,44,50.14,3,16,5,14,0,0,"fig|536231.75.peg.2164|RIL182_02049   FIG00521858: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2165   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,2,33,14,18,0,0,0,0,21,0,"fig|536231.75.peg.2165   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02050,199.926,183.819,280.686,507.53,167.44,279.098,377.621,228.245,294.49,354,198,234,"fig|536231.75.peg.2166|RIL182_02050   FIG00533902: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2167   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",44.373,55.85,56.979,142.301,94.807,88.987,81.977,85.836,37.998,83.993,82.013,26,"fig|536231.75.peg.2167   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02051,6089,4907,5831.95,11374,5864.002,5896,6610,7649,5874,9787,8434,8061,"fig|536231.75.peg.2168|RIL182_02051   Tetracycline resistance, MFS efflux pump = Tet(40)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02052,3036,2391,2312,3988,3612,2255,6202,4905.007,3814,3943,2290,4609,"fig|536231.75.peg.2169|RIL182_02052   Tetracycline resistance, ribosomal protection type = Tet(O)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02053,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2170|RIL182_02053   Maff2 family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02054,254.247,225,226.62,206,125,146.408,76,126.57,111.225,26,79,32,"fig|536231.75.peg.2171|RIL182_02054   TrsK-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02055,33,21,26,36,15,27.592,4,5,1,17,0,16,"fig|536231.75.peg.2172|RIL182_02055   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02056,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2173|RIL182_02056   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02057,20470,13065,15815,11193,14727,11192.43,31216.016,23271.958,5496,842,1069,3005,"fig|536231.75.peg.2174|RIL182_02057   Class-II lysyl-tRNA synthetase domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02058,21,19,15,0,17,3,4,10,6,0,0,0,"fig|536231.75.peg.2175|RIL182_02058   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02059,96,155,147,108,156,57,74,90,48,48,14,53,"fig|536231.75.peg.2176|RIL182_02059   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02060,236,229,134,110,49,54,44,73,28,2,0,0,"fig|536231.75.peg.2177|RIL182_02060   Replication initiation protein A   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02061,53,75,63,51,55,6,29,33,9,0,12,48,"fig|536231.75.peg.2178|RIL182_02061   Chromosome (plasmid) partitioning protein ParB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02062,74,80,54,34,66,31,28,29,60,7,0,0,"fig|536231.75.peg.2179|RIL182_02062   Chromosome (plasmid) partitioning protein ParA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02063,1,2,5,0,0,0,2,0,0,0,0,0,"fig|536231.75.peg.2180|RIL182_02063   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02064,62,53,39,19,32,27,10,27,12,0,0,0,"fig|536231.75.peg.2181|RIL182_02064   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02065,10,3,3,2,0,0,8,4,0,0,0,0,"fig|536231.75.peg.2182|RIL182_02065   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2183   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2183   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02066,82,77,57,160,65,86,23,44,53,43,9,36,"fig|536231.75.peg.2184|RIL182_02066   Putative outer membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02068,273,194,212,451,288,283,443,463.997,366,92,0,159,"fig|536231.75.peg.2185|RIL182_02068   FIG01020117: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02069,607,448,632,2142,1425,1775,1371,3246.003,6121,2006,585,1823,"fig|536231.75.peg.2186|RIL182_02069   S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02070,2686,2227,3645,11167,10084,8570.455,5880,16363.314,26681,7936,3030,8784,"fig|536231.75.peg.2187|RIL182_02070   Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02071,2071,1927,3601,5087,3585,3753,2409,4965,6435,1957,1142,1806,"fig|536231.75.peg.2188|RIL182_02071   Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02072,1899,1562,2113,1747,1780,1561,1970,3430,3768,1306,558,1242,"fig|536231.75.peg.2189|RIL182_02072   Ribonuclease BN   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02073,3662,3717,4739,5362.313,3207,3281,3727,5037,4629,1476,915,1713,"fig|536231.75.peg.2190|RIL182_02073   SPOIID HOMOLOG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02074,419,324,269,2190,1884,1202,1718,2328,2299,1544,316,1613,"fig|536231.75.peg.2191|RIL182_02074   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02075,42891,30294.148,38625.885,85142,111093,65317.004,64115.648,106135.184,171158.109,77160,38027,70628,"fig|536231.75.peg.2192|RIL182_02075   Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02076,1126,1020,1191,3216,2372,2255,3571.267,5251.067,5414,2646.76,956,2491,"fig|536231.75.peg.2193|RIL182_02076   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02077,3493,2731.952,4391,4940.746,3980.934,4315.601,5754.801,8176.155,7919,4008,2238,3502,"fig|536231.75.peg.2194|RIL182_02077   domain of unknown function DUF1745   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02078,92,44.048,43,412.254,396.066,237.399,182.199,426.845,360,116,8,96,"fig|536231.75.peg.2195|RIL182_02078   Cytidine deaminase (EC 3.5.4.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02079,250,157,203,834,463,360,186,807,1671,541,111,241,"fig|536231.75.peg.2196|RIL182_02079   Citrate synthase (si) (EC 2.3.3.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02080,1041,1015,887,2406,2869,1623,1929,3846,3131,1765,686,1233,"fig|536231.75.peg.2197|RIL182_02080   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02081,397,312,262,718,828,451,860,2140,1615,601,347,726,"fig|536231.75.peg.2198|RIL182_02081   Phosphate regulon transcriptional regulatory protein PhoB (SphR)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02082,6,2,4,6,45,18,32,77,71,13,20,5,"fig|536231.75.peg.2199|RIL182_02082   FIG01020128: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02083,2539.317,1644.548,1815.604,3540.82,3329.571,1371.051,1865.795,4329.195,6655.538,2271.451,805.589,1821.689,"fig|536231.75.peg.2200|RIL182_02083   Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02084,8099.683,5710.452,7572.396,5423.18,4045.429,5508.949,6333.205,12755.386,18487.462,7060.549,3028.411,6720.311,"fig|536231.75.peg.2201|RIL182_02084   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02085,4795,3689,5859,12614,17377,9893,6312.015,13373.261,18564,5945,3479,6726,"fig|536231.75.peg.2202|RIL182_02085   Threonine synthase (EC 4.2.3.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02086,565,335,344,683,575,451,675,1264.002,2259,733,191,329,"fig|536231.75.peg.2203|RIL182_02086   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02087,1376,1004,947,2846,2225,2023,1964,4961.821,9217,3576,687,2414,"fig|536231.75.peg.2204|RIL182_02087   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2205   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,0,1,0,0,0,1,0,9,0,0,0,"fig|536231.75.peg.2205   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02088,5242,4767,4900,6995,7631,4672,8054,12206.006,10991,5269,1862,4865,"fig|536231.75.peg.2206|RIL182_02088   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02089,19342.024,13938.907,22407,29854.979,25391,28190,30895.794,58797.461,69329.691,60724,15440,43415,"fig|536231.75.peg.2207|RIL182_02089   Electron transport complex protein RnfB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02090,11090,7498,12843.867,13255.66,13114,10176.766,17218.027,25198.316,36704.298,34224,12625,29390,"fig|536231.75.peg.2208|RIL182_02090   Electron transport complex protein RnfA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02091,4977,3445,4427.051,7740.34,4913,7124.338,9801,24097.745,42480,38300,7402,27897,"fig|536231.75.peg.2209|RIL182_02091   Electron transport complex protein RnfE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02092,2363,1585.2,2016,4256,1867,3871,8232.001,16746.242,29853,26829,4547,19203,"fig|536231.75.peg.2210|RIL182_02092   Electron transport complex protein RnfG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02093,4425,3266,3672,12843,10669,11687,14651.661,32866.244,50965,46001,8000,33105,"fig|536231.75.peg.2211|RIL182_02093   Electron transport complex protein RnfD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02094,13643,8951,13161,25550,21355,21742,21768.271,43659.461,60421,50891,14971,36262,"fig|536231.75.peg.2212|RIL182_02094   Electron transport complex protein RnfC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02095,1263,981,1142,912,473,644,1761,2406,1812,496,222,391,"fig|536231.75.peg.2213|RIL182_02095   Possible elongation subunit of DNA-dependent DNA polymerase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02096,2426,1668,2342,4229,5627,5856,12642.35,14261,12925,5459,1414,6325,"fig|536231.75.peg.2214|RIL182_02096   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02097,10963,9038,12392,12492,13957,13005,15484,23361.645,33655,17284,10851,17261,"fig|536231.75.peg.2215|RIL182_02097   Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02098,19250.25,17462.423,18836,58910.989,62004,39849.066,35243.069,71784.388,85334,32675,12013,29853,"fig|536231.75.peg.2216|RIL182_02098   SSU ribosomal protein S1p   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02099,3136,2679,2959,7633,3003,4406,7547.087,10464,9957,3243,1012,3076,"fig|536231.75.peg.2217|RIL182_02099   4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02100,2450,2528,3336.006,3305,2513,2443,2736,5382,5652,2309,1110,2283,"fig|536231.75.peg.2218|RIL182_02100   Cytidylate kinase (EC 2.7.4.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02101,4125,4813,6750,6197,4337,4303,3886,6852,9516,4250,2124,3865,"fig|536231.75.peg.2219|RIL182_02101   Uncharacterized flavin-containing protein YtfP   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02102,1041,758,639,1897,1525,1342,2295,4669,6196,2357,602,2252,"fig|536231.75.peg.2220|RIL182_02102   Transcriptional regulator, RpiR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02103,632,499,683,1312,1335,1100,1224,1960,1847,1196,567,1135,"fig|536231.75.peg.2221|RIL182_02103   Efflux ABC transporter, permease/ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02104,19146,14597.281,18307.824,31819,18889.457,28567,39058.302,69954.262,101303,58230.031,16853,49414,"fig|536231.75.peg.2222|RIL182_02104   Oxaloacetate decarboxylase alpha chain (EC 4.1.1.3); Methylmalonyl-CoA decarboxylase alpha chain (EC 4.1.1.41)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02105,11181.996,7069.746,8134.093,17344.203,16942.48,16650.336,23782.903,63276.165,107531.256,69735.657,15777,52516.493,"fig|536231.75.peg.2223|RIL182_02105   Oxaloacetate decarboxylase beta chain (EC 4.1.1.3) @ Methylmalonyl-CoA decarboxylase, beta chain (EC 4.1.1.41)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02106,988.004,967.254,825.907,3187.659,3181.172,2197.826,4114.573,9094.582,10768.744,6067.343,1035,5001.507,"fig|536231.75.peg.2224|RIL182_02106   Biotin carboxyl carrier protein = methylmalonyl-CoA decarboxylase; Biotin carboxyl carrier protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02107,28442.754,22210.031,32801.309,25367.384,25392.746,24109.423,28790.778,33358.577,41282,23590,10056,23690,"fig|536231.75.peg.2225|RIL182_02107   Methylmalonyl-CoA decarboxylase, delta-subunit (EC 4.1.1.41)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02108,60547.003,44864.923,62123.36,47288,25325,40373,64580.69,95756.197,121705,64265,24062,56667,"fig|536231.75.peg.2226|RIL182_02108   Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02109,481,487,728,1100,470,660,1119,1331,1281,896,382,626,"fig|536231.75.peg.2227|RIL182_02109   D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02110,650,647,1070,1073,718,852,1221,2218,1458,805,395,769,"fig|536231.75.peg.2228|RIL182_02110   Segregation and condensation protein B   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02111,734,631.53,670,1429.537,1244.034,1112,1289,2366,2855,1342,469,1225,"fig|536231.75.peg.2229|RIL182_02111   Segregation and condensation protein A   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2230   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",11,10,16,22.824,59.966,13,16,45,108,28,0,18,"fig|536231.75.peg.2230   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02112,65,54,15,138,103.984,87,6,11,22,24,0,0,"fig|536231.75.peg.2231|RIL182_02112   D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02113,6361.283,6140,9726,6901,6911,7982,6554,8352.234,8661,4503,3223,4488,"fig|536231.75.peg.2232|RIL182_02113   Cardiolipin synthase, bacterial type ClsA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02114,330,331,274,892,860,499,636,835,859,335,176,338,"fig|536231.75.peg.2233|RIL182_02114   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02115,539,271,281,1010,1070.008,756,938,2388.968,3020,2388,707,1281,"fig|536231.75.peg.2234|RIL182_02115   protein of unknown function DUF1538   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02116,159,129,114,425,253,235,195,460,866,782,152,379,"fig|536231.75.peg.2235|RIL182_02116   Putative regulatory protein, P-II family / Putative regulatory protein, P-II family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02117,27525,17242,21058,39652,21056,22058,35294.826,59621.142,80622.161,34034,15172,37197,"fig|536231.75.peg.2236|RIL182_02117   Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02118,643430.617,478406.584,689049.389,323345.985,96519,242302.369,634601.154,564695.646,234190.7,76096,81450,106945,"fig|536231.75.peg.2237|RIL182_02118   SSU ribosomal protein S15p (S13e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02119,58143,41953.004,62139.699,51518,20060,21193,47036.388,55947.73,48239,25534,12835,21585,"fig|536231.75.peg.2238|RIL182_02119   putative lipoprotein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02120,2928,2971,3750.538,4248,4251,4333,3961,5547.398,5221,2334,1248,2168,"fig|536231.75.peg.2239|RIL182_02120   FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02121,981,932,1228,1846,1447,1874,1788,3207,3663,1714,840,1676,"fig|536231.75.peg.2240|RIL182_02121   tRNA pseudouridine(55) synthase (EC 5.4.99.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
