,GC124670,GC124671,GC124672,GC124673,GC124674,GC124675,GC124676,GC124677,GC124678,original_tags
RIL182_01922,17828.818,24754.049,19135,18274,14128,6899,4266,4112,8062,"fig|536231.75.peg.2031|RIL182_01922   Cytidylate kinase (EC 2.7.4.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01923,1010,727,448,606,637,478,541,508,730,"fig|536231.75.peg.2032|RIL182_01923   LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01924,1059.026,1051,659,721,886,698,76,110,190,"fig|536231.75.peg.2033|RIL182_01924   Lipoprotein signal peptidase (EC 3.4.23.36)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01925,4821.399,4526,3383,3027,3537,3333,1506,1586,2247.075,"fig|536231.75.peg.2034|RIL182_01925   3-dehydroquinate synthase (EC 4.2.3.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01926,4516.323,3506,3392,3252,3557,2485.007,1947,1799,3154,"fig|536231.75.peg.2035|RIL182_01926   Putative RNA-binding protein YlmH   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01927,14793.286,12325,11463,16857,15947,9964,10689,9506,18035,"fig|536231.75.peg.2036|RIL182_01927   SepF, FtsZ-interacting protein related to cell division   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01928,6057.391,5901.399,2687,4984,4827.007,4682,766,1218,1396,"fig|536231.75.peg.2037|RIL182_01928   Pyridoxal phosphate-containing protein YggS   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01929,4169,3802,1981,4790,3708,3151,1264,1697,2570,"fig|536231.75.peg.2038|RIL182_01929   Chromosome partition protein smc   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01930,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2039|RIL182_01930   Uncharacterized membrane protein YuzA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01931,393020.593,535337.673,286067,125096.486,176925.193,87531.394,11619,13692,20620,"fig|536231.75.peg.2040|RIL182_01931   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01932,17675.489,13897.475,10397,7382.633,8955.311,7817,2791,2535,3794.222,"fig|536231.75.peg.2041|RIL182_01932   D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01933,4921.03,4848.051,2797.683,5099.264,3900.558,5113.707,5392.718,4711.932,8381.434,"fig|536231.75.peg.2042|RIL182_01933   Methylglyoxal synthase (EC 4.2.3.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01934,6992.444,5248.347,3974.317,5634.618,5048.64,4734.789,3360.29,3038.593,4972.954,"fig|536231.75.peg.2043|RIL182_01934   Rod shape-determining protein RodA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01935,628.216,361.231,310.069,350.305,382.895,305.803,96.424,151.036,192.337,"fig|536231.75.peg.2044|RIL182_01935   Cell division topological specificity factor MinE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01936,5803.174,4193.757,2840.931,4676.179,4261.596,3933.701,2360.569,2184.44,3490.053,"fig|536231.75.peg.2045|RIL182_01936   Septum site-determining protein MinD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01937,35980.94,28700.583,20398,28976.731,30310,30918,11221,12524,18432,"fig|536231.75.peg.2046|RIL182_01937   Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01938,2899,2826,2039,3428,3297,3602,407,425,812,"fig|536231.75.peg.2047|RIL182_01938   Rod shape-determining protein MreD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01939,10628,9952,5330,10080,9970,9666,4636,3498,6408,"fig|536231.75.peg.2048|RIL182_01939   Rod shape-determining protein MreC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01940,17950.817,14425,8989,25269.294,20332,13918,11230,12197,20464,"fig|536231.75.peg.2049|RIL182_01940   Rod shape-determining protein MreB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01941,22105.887,20680.076,12770,26852.187,27628.196,24305,9340,9767,15662,"fig|536231.75.peg.2050|RIL182_01941   UPF0758 family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01943,5501.083,3559.002,2197,3710,3406,2310,4298,4283,6248,"fig|536231.75.peg.2051|RIL182_01943   Aluminum resistance protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01944,2001.013,1765.562,884.516,1297.651,1568.516,847.133,1580.436,1510.931,2410.736,"fig|536231.75.peg.2052|RIL182_01944   tRNA dimethylallyltransferase (EC 2.5.1.75)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01945,1624.377,1120.184,765.566,1128.876,1038.633,1053.867,1166.093,1219.582,1312.146,"fig|536231.75.peg.2053|RIL182_01945   DNA mismatch repair protein MutL   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01947,5112.099,3604.428,2536.919,4158.473,4068.852,2446,7593.471,6508.488,11159.118,"fig|536231.75.peg.2055|RIL182_01947   DNA mismatch repair protein MutL   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01948,2700,1841.385,1420,2191,1909,1359,3144,2976,5094,"fig|536231.75.peg.2056|RIL182_01948   Thymidylate synthase ThyX (EC 2.1.1.148)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01949,8809.041,6132.155,3763,6898,6647,3906,6172,5848,8410,"fig|536231.75.peg.2057|RIL182_01949   DNA mismatch repair protein MutS   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01950,14764.073,10321.018,7279,7926,9347,5610,7021,5442,9344,"fig|536231.75.peg.2058|RIL182_01950   NAD(FAD)-utilizing dehydrogenase, sll0175 homolog   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01951,3939.988,3002.01,1902,3052.003,2914,2397,3295,3124.194,5648,"fig|536231.75.peg.2059|RIL182_01951   NAD(FAD)-utilizing dehydrogenases   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01952,397.173,388.99,228,311.353,314.221,214,246,156.806,281.915,"fig|536231.75.peg.2060|RIL182_01952   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01953,10377.945,7503.573,6060,11905.793,10610.228,9726,10698,8252,14207.085,"fig|536231.75.peg.2061|RIL182_01953   FIG006789: Stage V sporulation protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01954,2100.602,1643.427,1149,2546.851,2736.69,1437,834,732,1403,"fig|536231.75.peg.2062|RIL182_01954   Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01955,13852.42,10427.929,8049,15011,14945,10452,17605,12993,21311,"fig|536231.75.peg.2063|RIL182_01955   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01956,11813.406,9476.954,5702,18406.458,16376.832,10277,16130,11762,17792,"fig|536231.75.peg.2064|RIL182_01956   Phosphate starvation-inducible protein PhoH, predicted ATPase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01957,1980.252,1872.287,930.009,1421.096,1659.555,1014.417,1091.76,837.314,1434.429,"fig|536231.75.peg.2065|RIL182_01957   Uncharacterized protein YqfD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01958,365.905,277.567,194.436,312.978,251.378,156.583,164.069,210.686,259.032,"fig|536231.75.peg.2066|RIL182_01958   FIG00531504: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01959,5952.07,4053.145,2887.555,6961.926,6080.067,4071,9782.172,8049,11455.539,"fig|536231.75.peg.2067|RIL182_01959   Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01960,2861,2946,2109,2586,2469,1711,1798,1724,2766,"fig|536231.75.peg.2068|RIL182_01960   FIG01019979: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01961,22945.688,14710,11684,33690.084,27524.203,16329,32545,26777,38432,"fig|536231.75.peg.2069|RIL182_01961   Possible hypoxanthine oxidase XdhD (EC 1.-.-.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01962,1078.466,871,431,1484.113,1465.89,505,583,547,1257,"fig|536231.75.peg.2070|RIL182_01962   Possible hypoxanthine oxidase XdhD (EC 1.-.-.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01963,11145.523,9303,5859,8947.165,10058.11,4488,5683,5487,8830,"fig|536231.75.peg.2071|RIL182_01963   Molybdopterin dehydrogenase, FAD-binding subunit   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01964,1722,1388,569,1322,1324,670,486,591,837,"fig|536231.75.peg.2072|RIL182_01964   Uncharacterized protein, YkwD family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01965,3920,3073,3051,2987,3609,2317,2039,1615,2521,"fig|536231.75.peg.2073|RIL182_01965   Endonuclease III (EC 4.2.99.18)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2074   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2074   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01966,497,385,313,515,327,1354,639,649,1193,"fig|536231.75.peg.2075|RIL182_01966   EriC-type fluoride/proton exchange protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01967,2383,1854,1394,594,389,811,389,499,574,"fig|536231.75.peg.2076|RIL182_01967   Proline/sodium symporter PutP (TC 2.A.21.2.1) @ Propionate/sodium symporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01968,3283.386,2893.096,1669,3409.709,2261.151,2380,2513.262,2265.606,4135.854,"fig|536231.75.peg.2077|RIL182_01968   Xylan 1,4-beta-xylosidase (EC 3.2.1.37)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01969,2644.219,2513.907,2014,1985.354,1713.849,2815,1822.738,1306.394,2551.808,"fig|536231.75.peg.2078|RIL182_01969   23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01970,654,469,469,795,642,812,365,550,699,"fig|536231.75.peg.2079|RIL182_01970   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01971,5299,4967,2817,8467,6324,4135,5021,4760,9159,"fig|536231.75.peg.2080|RIL182_01971   Xanthine phosphoribosyltransferase (EC 2.4.2.22)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01972,13582.91,14168.993,7040,7886,9417,7062,4093,4048,5705,"fig|536231.75.peg.2081|RIL182_01972   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01973,12695.783,9710,6096,11900,11380,7637,10475,10388,14167.11,"fig|536231.75.peg.2082|RIL182_01973   Formate--tetrahydrofolate ligase (EC 6.3.4.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01974,20279.461,15769.459,10920,15071.486,16974.699,11292,8824,8685,13849,"fig|536231.75.peg.2083|RIL182_01974   DNA translocase FtsK   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01975,7651.023,6236,4681,7725.077,8473,6813,2692,2665,4871,"fig|536231.75.peg.2084|RIL182_01975   Undecaprenyl-diphosphatase (EC 3.6.1.27)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01976,480.001,430.273,297,603.226,491.116,282.343,406,305,555,"fig|536231.75.peg.2085|RIL182_01976   Translocation-enhancing protein TepA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01977,14583.675,11301.008,7568,40539.143,23235,21327.369,18886,17892,26697,"fig|536231.75.peg.2086|RIL182_01977   Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01978,15119.263,17742.101,6645,11469.279,11090.728,10395,6852,7785,13964.372,"fig|536231.75.peg.2087|RIL182_01978   Probable transcriptional regulatory protein YebC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01979,858.01,814.59,438,529.168,618.236,384,512.832,337.86,725.148,"fig|536231.75.peg.2088|RIL182_01979   Similar to cell death toxin YdcE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01980,5404.198,3904.413,2140,3978.001,3616.036,3471,4318.168,4086.14,6911.48,"fig|536231.75.peg.2089|RIL182_01980   Alanine racemase (EC 5.1.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01981,7158.937,5219.2,3178,4956,4752.967,4141.237,10016,8813.292,13132,"fig|536231.75.peg.2090|RIL182_01981   NAD(P)H-hydrate epimerase (EC 5.1.99.6) / ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2091   Putative virion core protein (lumpy skin disease virus)   [Roseburia intestinalis L1-82 | 536231.75]
",108.036,75.842,37.431,96.531,80.483,90.048,90.005,35.708,77.858,"fig|536231.75.peg.2091   Putative virion core protein (lumpy skin disease virus)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01982,3597,3301.14,1600.48,2124.023,2485,1955,2049.995,1620,2827.142,"fig|536231.75.peg.2092|RIL182_01982   Redox-sensing transcriptional repressor Rex   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01983,11543.701,8831,4989,9261.144,7949,6658,4258,4949,8328,"fig|536231.75.peg.2093|RIL182_01983   Bis-ABC ATPase YheS   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01984,14426.925,11628,5975,11996,7252,6248,2102,2437,3983,"fig|536231.75.peg.2094|RIL182_01984   Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01985,4549.003,3693,2216,4580,3068,2096,797,857,1628,"fig|536231.75.peg.2095|RIL182_01985   Transcriptional regulator, GntR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01986,12433.099,7862,4798,12437,7570.857,5901,6851,6016,10173,"fig|536231.75.peg.2096|RIL182_01986   Re face-specific citrate synthase (EC 2.3.3.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01987,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2097|RIL182_01987   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01988,44,53,18,35,29,21,51,115,66,"fig|536231.75.peg.2098|RIL182_01988   FIG01019980: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01989,0,0,4,0,0,0,0,0,0,"fig|536231.75.peg.2099|RIL182_01989   FIG01020055: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01990,9,0,6,0,0,0,0,5,0,"fig|536231.75.peg.2100|RIL182_01990   FIG01020137: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01991,13316.06,15234.154,8642,27479.19,14989,16014,17530,18083,28792,"fig|536231.75.peg.2101|RIL182_01991   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01992,8187,7739,3613,30239,14493.11,12758,28901,23064,34066,"fig|536231.75.peg.2102|RIL182_01992   Elongation factor G-like protein TM_1651   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01993,3399.029,3270,1759,1067,888,911,1184,1027,1713,"fig|536231.75.peg.2103|RIL182_01993   Prephenate dehydrogenase (EC 1.3.1.12)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2104   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",26,60,14,16,46,4,0,0,0,"fig|536231.75.peg.2104   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01994,11530.473,7637.388,5836.989,12741.08,11275.155,6170.176,6926.221,6433.549,9253.982,"fig|536231.75.peg.2105|RIL182_01994   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01995,2057.697,1300.449,1056.489,1643.981,1487.576,749.081,1210.649,985.551,1279.003,"fig|536231.75.peg.2106|RIL182_01995   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01996,2962.865,2687.938,2100.574,2605.791,2705.707,1445.949,1370.586,1105.041,1702.374,"fig|536231.75.peg.2107|RIL182_01996   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01997,4531.882,5641.068,2086.001,3336.095,3733.726,3287.016,720.796,900.72,1300.125,"fig|536231.75.peg.2108|RIL182_01997   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01998,36898.514,46218.499,21981,16394.23,24145.39,16311.158,2069.859,1602.671,2712.619,"fig|536231.75.peg.2109|RIL182_01998   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01999,48689.535,42234.269,19740,73680.667,48394.072,37691.508,116886,98772,136756.937,"fig|536231.75.peg.2110|RIL182_01999   RCC1 repeat domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2111   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,3,0,1,1,2,0,0,0,"fig|536231.75.peg.2111   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02000,15043.088,12911,5819,27297.088,15080.526,15269,13779,13180,18929,"fig|536231.75.peg.2112|RIL182_02000   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02001,134.291,411,19,112,171,246,3,27,57,"fig|536231.75.peg.2113|RIL182_02001   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02002,9,4,0,0,0,1,0,0,0,"fig|536231.75.peg.2114|RIL182_02002   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02003,1,1,1,3,0,0,12,0,12,"fig|536231.75.peg.2115|RIL182_02003   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02004,0,1,11,4,5,1,143,95,84,"fig|536231.75.peg.2116|RIL182_02004   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02005,2325.697,1918,1600,1961,1088,1189,2309,3164,5103,"fig|536231.75.peg.2117|RIL182_02005   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02006,77,186,15,9,41,22,0,15,18,"fig|536231.75.peg.2118|RIL182_02006   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2119   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,5,0,0,"fig|536231.75.peg.2119   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02007,11737.603,18098.606,10176,2075,5150.396,1870,181,216,504,"fig|536231.75.peg.2120|RIL182_02007   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02008,46,85,32,158,97,75,8,38,83,"fig|536231.75.peg.2121|RIL182_02008   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02009,23,46,6,75.146,52,76,44,60,105.999,"fig|536231.75.peg.2122|RIL182_02009   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02010,142,119,68,482.854,277.816,296,138.506,389.696,494.001,"fig|536231.75.peg.2123|RIL182_02010   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02011,42,44,12,88,75.184,60,49.494,60.819,31,"fig|536231.75.peg.2124|RIL182_02011   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02012,58,52,8,87,68,57,72,70.486,63,"fig|536231.75.peg.2125|RIL182_02012   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02013,32,49,11,102,42,77,22,43,69,"fig|536231.75.peg.2126|RIL182_02013   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02014,51,51,3,178,94,89,119,88,172,"fig|536231.75.peg.2127|RIL182_02014   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02015,15,49,3,122,94,87,110,34,164,"fig|536231.75.peg.2128|RIL182_02015   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02016,263,368,232,834,491,839,258,212,408,"fig|536231.75.peg.2129|RIL182_02016   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02017,236,359,116,546,475,572,277,255,537,"fig|536231.75.peg.2130|RIL182_02017   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02018,10.231,3,0,14,0,13,16,0,12,"fig|536231.75.peg.2131|RIL182_02018   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02019,30.769,38,23,19,22,16,61,58,62,"fig|536231.75.peg.2132|RIL182_02019   Rlx-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02020,14128.235,15726.324,3516,2454,4519,4076,378,293,529,"fig|536231.75.peg.2133|RIL182_02020   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02021,3,1,0,0,0,0,6,0,0,"fig|536231.75.peg.2134|RIL182_02021   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02022,65,67,47,55,43,27,159,189,127,"fig|536231.75.peg.2135|RIL182_02022   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02024,121,117,12,128,132,147,21,37,96,"fig|536231.75.peg.2137|RIL182_02024   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2138   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,2,1,0,2,5,0,0,0,"fig|536231.75.peg.2138   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02025,396.27,366.223,262.789,917,421,727.006,481,479,645.832,"fig|536231.75.peg.2139|RIL182_02025   Transposase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02026,383.73,411.777,147.211,553,337,383.994,429,428,586.168,"fig|536231.75.peg.2140|RIL182_02026   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02027,25,32,0,109,42,37,70,53,66,"fig|536231.75.peg.2141|RIL182_02027   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02028,917.01,1218,467,912,1097,1767,184,113,341,"fig|536231.75.peg.2142|RIL182_02028   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02029,221,392,95,168,307,356,24,0,34,"fig|536231.75.peg.2143|RIL182_02029   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02030,437,406,156,813,493,516,901,747,1198,"fig|536231.75.peg.2144|RIL182_02030   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02031,0,6,4,0,0,0,11,0,16,"fig|536231.75.peg.2145|RIL182_02031   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02032,102,79,19,22,19,26,168,236,181,"fig|536231.75.peg.2146|RIL182_02032   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02033,9,16,15,3,2,9,6,15,28,"fig|536231.75.peg.2147|RIL182_02033   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02034,21,37,0,35,34,35,0,36,45,"fig|536231.75.peg.2148|RIL182_02034   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02035,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2149|RIL182_02035   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02036,0,1,6,0,0,0,7,0,0,"fig|536231.75.peg.2150|RIL182_02036   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02037,70,49,37,45,33,54,106,160,151,"fig|536231.75.peg.2151|RIL182_02037   DNA topoisomerase III (EC 5.99.1.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02038,18,27,0,6,6,9,20,31,47,"fig|536231.75.peg.2152|RIL182_02038   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02039,0,1,0,0,0,0,0,0,10,"fig|536231.75.peg.2153|RIL182_02039   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02040,36,62,0,20,22,27,36,96,132,"fig|536231.75.peg.2154|RIL182_02040   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02041,78,63,19,26,23,15,56,141,75,"fig|536231.75.peg.2155|RIL182_02041   TrsE-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02042,8,6,2,1,5,2,8,0,26,"fig|536231.75.peg.2156|RIL182_02042   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02043,109,88,100,46,51,25,70,76,59,"fig|536231.75.peg.2157|RIL182_02043   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02044,4747.414,3170.022,2068.09,8111.197,5208,3837,10151,10129,15913,"fig|536231.75.peg.2158|RIL182_02044   Site-specific recombinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02045,1,2,0,0,0,0,0,11,14.377,"fig|536231.75.peg.2159|RIL182_02045   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02046,12,18,6,5,3,5,78,126,113.623,"fig|536231.75.peg.2160|RIL182_02046   Helicase loader DnaI   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02047,4,10,0,1,0,2,19,19,19,"fig|536231.75.peg.2161|RIL182_02047   FIG00515839: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2162   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,1,0,0,0,0,0,0,6,"fig|536231.75.peg.2162   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02048,37,48,22,13,7,4,305,189.654,381,"fig|536231.75.peg.2163|RIL182_02048   FIG00514472: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02049,1,2,0,1,1,2,0,21,12,"fig|536231.75.peg.2164|RIL182_02049   FIG00521858: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2165   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2165   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02050,41.289,31.575,57,13.438,37.874,13.739,93.826,139.791,102.175,"fig|536231.75.peg.2166|RIL182_02050   FIG00533902: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2167   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",25.874,8.572,9,1.074,7,2,49.713,38,44.732,"fig|536231.75.peg.2167   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02051,1326,963,833,968,777,660,2982,2164,3543,"fig|536231.75.peg.2168|RIL182_02051   Tetracycline resistance, MFS efflux pump = Tet(40)   [Roseburia intestinalis L1-82 | 536231.75]
"
