,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738,original_tags
RIL182_01968,146,290.375,400.232,20,17,39,19,15,20.053,686,622.144,846.18,925,532,840,"fig|536231.75.peg.2077|RIL182_01968   Xylan 1,4-beta-xylosidase (EC 3.2.1.37)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01969,121,227.625,298.768,23,8,12,12,4,19.947,795,818.856,1063.82,341,302,280,"fig|536231.75.peg.2078|RIL182_01969   23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01970,93,57,70,4,3,12,0,0,0,0,20,23,121,104,84,"fig|536231.75.peg.2079|RIL182_01970   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01971,334,546,718,81,55,64,37,34,17,530,461,759,1209,976,1472,"fig|536231.75.peg.2080|RIL182_01971   Xanthine phosphoribosyltransferase (EC 2.4.2.22)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01972,571,800,1195,126,190,104,54,128,120,3780,2840,4351,4627,3491,4487,"fig|536231.75.peg.2081|RIL182_01972   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01973,1199,1636,2591,216,250,255,68,170,102,2483,2128,2831,8991,6319,7968,"fig|536231.75.peg.2082|RIL182_01973   Formate--tetrahydrofolate ligase (EC 6.3.4.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01974,1737,2593,3336,302,384,335,167,102,96,2433,2472,2857,11580,8737,10285.607,"fig|536231.75.peg.2083|RIL182_01974   DNA translocase FtsK   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01975,480,610,1072,52,79,71,46,91,59,1702,1125,1833,2498,1757,2271,"fig|536231.75.peg.2084|RIL182_01975   Undecaprenyl-diphosphatase (EC 3.6.1.27)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01976,45,84,97,7,28,6,8,0,0,151,107,161,144,128,166,"fig|536231.75.peg.2085|RIL182_01976   Translocation-enhancing protein TepA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01977,1283,1670,1857,206,274,245,153,211,139,3422,2356,3970.295,6393,4707,5920,"fig|536231.75.peg.2086|RIL182_01977   Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01978,651,1275,1656,258,314,228,156,145,146,3852,3376,4051,12017.731,10877,11719,"fig|536231.75.peg.2087|RIL182_01978   Probable transcriptional regulatory protein YebC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01979,63,84,150,17,35,20,40.424,111.929,100,1862.167,1691.347,2729.126,1797.267,1961.868,2041.575,"fig|536231.75.peg.2088|RIL182_01979   Similar to cell death toxin YdcE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01980,254,469,696,113,154,93,56.576,265.071,100,3804.833,3094.653,5226.874,8057.002,5919.132,6749.425,"fig|536231.75.peg.2089|RIL182_01980   Alanine racemase (EC 5.1.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01981,323,577,996,91,107,136,105,82,69,2452,2249,2559,5603,3814,4887.491,"fig|536231.75.peg.2090|RIL182_01981   NAD(P)H-hydrate epimerase (EC 5.1.99.6) / ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2091   Putative virion core protein (lumpy skin disease virus)   [Roseburia intestinalis L1-82 | 536231.75]
",0,5.083,15,4,0,0,1,0,0,82,9,0,47,46,26.509,"fig|536231.75.peg.2091   Putative virion core protein (lumpy skin disease virus)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01982,101,224,431,71,97,69,23,58,47,697,965,934,2762,2416,2603,"fig|536231.75.peg.2092|RIL182_01982   Redox-sensing transcriptional repressor Rex   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01983,587,674,1309,202,303,169,32,112,59,911,699,1041,5453,4091,4571,"fig|536231.75.peg.2093|RIL182_01983   Bis-ABC ATPase YheS   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01984,471,730,1291,210,317,193,45,72,56,343,400,471,2364,1638,1944,"fig|536231.75.peg.2094|RIL182_01984   Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01985,230,229,352,52,72,80,64,19,41,274,324,338,623,493,643,"fig|536231.75.peg.2095|RIL182_01985   Transcriptional regulator, GntR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01986,498,656,1076,99,163,121,31,30,30,395,369,324,1745,1173,1528,"fig|536231.75.peg.2096|RIL182_01986   Re face-specific citrate synthase (EC 2.3.3.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01987,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,"fig|536231.75.peg.2097|RIL182_01987   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01988,2,14,6,0,7,4,0,4,6,423,394,344,197,182,174,"fig|536231.75.peg.2098|RIL182_01988   FIG01019980: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01989,0,0,0,0,0,0,0,0,0,10,0,28.09,0,0,0,"fig|536231.75.peg.2099|RIL182_01989   FIG01020055: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01990,0,0,0,0,0,0,0,0,0,0,0,18.91,0,0,0,"fig|536231.75.peg.2100|RIL182_01990   FIG01020137: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01991,1699,2908,1945,230,251,241,408,611,239,17299,13388,18834,37237,26795,32012,"fig|536231.75.peg.2101|RIL182_01991   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01992,1777,4181,3081,87,84,82,552,691,389,21334,15832,22746,31424,24167,26762,"fig|536231.75.peg.2102|RIL182_01992   Elongation factor G-like protein TM_1651   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01993,90,167,217,26,29,26,35,7,0,82,89,31,435,250,360,"fig|536231.75.peg.2103|RIL182_01993   Prephenate dehydrogenase (EC 1.3.1.12)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2104   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,0,2,0,0,0,0,0,0,0,0,0,6,4,0,"fig|536231.75.peg.2104   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01994,903.782,1259.106,1474.169,167.098,243.705,193.873,102.971,240.546,148.84,3457.659,2203.957,4135.763,14720.755,10745.18,12921.111,"fig|536231.75.peg.2105|RIL182_01994   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01995,121.876,181.802,227.138,16.311,8.678,21.998,24.464,37,19,725.844,459.803,900.62,1736.299,1146.964,1666.861,"fig|536231.75.peg.2106|RIL182_01995   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01996,273.135,264.749,359.952,21.595,29,13,27.745,67,26.555,1544.928,1039.979,1727.679,2808.479,2079.582,2255.562,"fig|536231.75.peg.2107|RIL182_01996   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01997,137,250.301,261,45,13,44,56.255,31.884,55.116,1947.783,1626.34,2253.887,4722.564,4226.55,4920.715,"fig|536231.75.peg.2108|RIL182_01997   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01998,1276,1753,1736,87,97,95,154,244.116,149.329,9142.518,7043.728,11684.762,14988.14,12027.277,14357.391,"fig|536231.75.peg.2109|RIL182_01998   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01999,2770,5145,5866,926,1205,1108,2516,2659,2257,114782,100527,134352,233598,180204,198305.842,"fig|536231.75.peg.2110|RIL182_01999   RCC1 repeat domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2111   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,11,8,0,6,4,0,"fig|536231.75.peg.2111   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02000,808,1070,1284,191,273,256,405,820,448,47765,36978,57574,68784,52311,61371,"fig|536231.75.peg.2112|RIL182_02000   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02001,0,28,30,1,14,10,0,0,0,45,134,44,822,601,590,"fig|536231.75.peg.2113|RIL182_02001   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02002,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,"fig|536231.75.peg.2114|RIL182_02002   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02003,0,0,1,0,0,0,0,0,0,7,0,0,3,0,0,"fig|536231.75.peg.2115|RIL182_02003   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02004,0,1,0,0,0,0,0,6,0,25,8,18,9,12,12,"fig|536231.75.peg.2116|RIL182_02004   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02005,132,150,213,26,34,30,9,22,0,411,325,673,1437,1192,1558,"fig|536231.75.peg.2117|RIL182_02005   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02006,0,5,6,2,0,0,0,0,0,0,46,100,10,7,22,"fig|536231.75.peg.2118|RIL182_02006   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2119   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2119   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02007,194,282,438,36,21,8,38,61,23,1278,1647,1633,1410,1122,1405,"fig|536231.75.peg.2120|RIL182_02007   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02008,2,4,5,5,0,0,0,0,0,15,6,39,101,76,75,"fig|536231.75.peg.2121|RIL182_02008   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02009,0,0,0,0,0,0,18,8,0,102,43,131,106,109,129,"fig|536231.75.peg.2122|RIL182_02009   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02010,5,19,8,4,10,3,0,10,0,271,115.653,90,730,695,776,"fig|536231.75.peg.2123|RIL182_02010   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02011,3,4,1,2,0,3,0,0,0,17,60.347,13,118,148,149,"fig|536231.75.peg.2124|RIL182_02011   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02012,11,8,7,3,5,0,0,0,0,3,43,28,137,102,96,"fig|536231.75.peg.2125|RIL182_02012   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02013,0,1,4,0,0,0,16,0,0,70,41,23,134,111,88,"fig|536231.75.peg.2126|RIL182_02013   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02014,4,4,11,5,4,0,0,0,0,46,63,13,339,200,211,"fig|536231.75.peg.2127|RIL182_02014   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02015,1,6,10,4,1,1,0,0,0,20,47,11,240,168,136,"fig|536231.75.peg.2128|RIL182_02015   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02016,19,30,23,0,6,11,29,11,0,549,449,659,874,683,871,"fig|536231.75.peg.2129|RIL182_02016   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02017,31,33,48,2,0,5,0,0,0,134,94,135,423,285,479,"fig|536231.75.peg.2130|RIL182_02017   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2131|RIL182_02018   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02019,1,0,13,0,0,0,0,0,0,50,18,43,84,60,64,"fig|536231.75.peg.2132|RIL182_02019   Rlx-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02020,85,268,405,26,18,26,45,54,24,1270,1155,1413,1208,1150,1149,"fig|536231.75.peg.2133|RIL182_02020   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2134|RIL182_02021   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02022,6,7,16,0,1,0,0,0,0,106,62,6,132,120,88,"fig|536231.75.peg.2135|RIL182_02022   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02024,11,8,3,1,0,3,0,0,11,58,41,44,136,129,144,"fig|536231.75.peg.2137|RIL182_02024   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2138   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,"fig|536231.75.peg.2138   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02025,27,31,46,6.212,3,16,6,0,0,272,199,314.441,1012.718,612,751.184,"fig|536231.75.peg.2139|RIL182_02025   Transposase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02026,17,27,41,9.788,12,13,0,0,11,111,62,190.559,479.282,473,376.816,"fig|536231.75.peg.2140|RIL182_02026   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02027,0,2,6,1,4,0,0,0,0,17,30,29,125,105,108,"fig|536231.75.peg.2141|RIL182_02027   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02028,43,52,38,13,3,0,17,31,5,692,614,1172,830,743,882,"fig|536231.75.peg.2142|RIL182_02028   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02029,7,15,8,0,0,3,0,0,0,13,10,52,153,117,95,"fig|536231.75.peg.2143|RIL182_02029   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02030,22,49,51,13,31,18,43,12,20,642,806,704,1083,778,1046,"fig|536231.75.peg.2144|RIL182_02030   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02031,0,1,0,0,0,0,0,0,0,12,0,0,0,0,3,"fig|536231.75.peg.2145|RIL182_02031   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02032,7,10,15,0,7,0,0,0,0,11,39,17,103,98,94,"fig|536231.75.peg.2146|RIL182_02032   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02033,0,2,3,0,0,0,0,6,0,0,20,18,45,25,11,"fig|536231.75.peg.2147|RIL182_02033   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02034,6,4,6,0,0,0,0,4,0,17,38,32,91,85,52,"fig|536231.75.peg.2148|RIL182_02034   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02035,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"fig|536231.75.peg.2149|RIL182_02035   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2150|RIL182_02036   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02037,0,4,14,4,5,0,0,0,0,51,42,10,93,70,70,"fig|536231.75.peg.2151|RIL182_02037   DNA topoisomerase III (EC 5.99.1.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02038,0,2,1,0,0,0,0,0,0,46,7,0,49,27,49,"fig|536231.75.peg.2152|RIL182_02038   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02039,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,"fig|536231.75.peg.2153|RIL182_02039   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02040,2,6,3,0,0,0,0,0,0,0,21,24,82,80,86,"fig|536231.75.peg.2154|RIL182_02040   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02041,0,2,18,4,0,0,0,0,0,82,68,202,157,132,112,"fig|536231.75.peg.2155|RIL182_02041   TrsE-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02042,1,1,2,0,0,0,0,0,0,0,9,0,14,8,12,"fig|536231.75.peg.2156|RIL182_02042   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02043,4,6,14,0,0,0,7,10,0,107,75,192,65,31,33,"fig|536231.75.peg.2157|RIL182_02043   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02044,514,844,1020,62,76,63,60,53,9,731,841,907,2093,1443,1883.541,"fig|536231.75.peg.2158|RIL182_02044   Site-specific recombinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"fig|536231.75.peg.2159|RIL182_02045   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02046,0,1,3,0,0,0,0,0,7,21,10,22,39,0,13,"fig|536231.75.peg.2160|RIL182_02046   Helicase loader DnaI   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02047,0,0,3,0,0,0,0,0,0,0,14,0,14,25,4,"fig|536231.75.peg.2161|RIL182_02047   FIG00515839: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2162   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2162   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02048,0,17,12,8,0,0,0,0,0,7,13,0,37,26,55,"fig|536231.75.peg.2163|RIL182_02048   FIG00514472: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02049,0,5,0,0,0,0,0,0,0,0,0,0,4,4,11,"fig|536231.75.peg.2164|RIL182_02049   FIG00521858: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2165   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,"fig|536231.75.peg.2165   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02050,2,10,9.43,6,3,4,25,0,10,0,103,60,202.04,101.824,173.465,"fig|536231.75.peg.2166|RIL182_02050   FIG00533902: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2167   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,5,0,0,0,1,0,0,0,27,20.957,20,61.988,6,19,"fig|536231.75.peg.2167   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02051,88,158,197,48,38,38,38,64,39,818,1097,999,3373,2079,2937,"fig|536231.75.peg.2168|RIL182_02051   Tetracycline resistance, MFS efflux pump = Tet(40)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02052,64,85,143,49,38,42,79,207,56,2853,2428,3510,6676,5278,5706,"fig|536231.75.peg.2169|RIL182_02052   Tetracycline resistance, ribosomal protection type = Tet(O)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2170|RIL182_02053   Maff2 family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02054,1,2,9,0,0,0,0,0,0,96,102,88,92,54,56,"fig|536231.75.peg.2171|RIL182_02054   TrsK-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02055,1,0,4,0,0,0,0,0,0,0,17,6,23,0,15,"fig|536231.75.peg.2172|RIL182_02055   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2173|RIL182_02056   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02057,407,1107,1121,34,10,7,0,0,9,315,337,415,551.988,468,542,"fig|536231.75.peg.2174|RIL182_02057   Class-II lysyl-tRNA synthetase domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02058,2,2,0,0,0,0,0,0,0,0,0,0,8.012,2,19,"fig|536231.75.peg.2175|RIL182_02058   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02059,1,6,16,0,0,0,0,8,0,91,66,0,43,34,34,"fig|536231.75.peg.2176|RIL182_02059   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02060,0,5,3,0,0,0,0,0,0,53,86,92,67,54,66,"fig|536231.75.peg.2177|RIL182_02060   Replication initiation protein A   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02061,0,3,1,1,0,0,0,0,0,0,16,0,28,30,40,"fig|536231.75.peg.2178|RIL182_02061   Chromosome (plasmid) partitioning protein ParB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02062,0,0,0,0,2,0,16,0,0,21,22,12,119,55,45,"fig|536231.75.peg.2179|RIL182_02062   Chromosome (plasmid) partitioning protein ParA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02063,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,"fig|536231.75.peg.2180|RIL182_02063   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02064,0,0,1,5,3,0,7,0,0,69,34,24,32,21,37,"fig|536231.75.peg.2181|RIL182_02064   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02065,0,0,0,3,0,0,0,0,0,0,5,0,0,0,4,"fig|536231.75.peg.2182|RIL182_02065   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2183   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2183   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02066,5,12,13,3,4,0,7,0,0,11,44,28,88,51,68,"fig|536231.75.peg.2184|RIL182_02066   Putative outer membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02068,23,46,62,9,28,3,0,0,0,30,29,22,89,63,65,"fig|536231.75.peg.2185|RIL182_02068   FIG01020117: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02069,255,298,577,39,77,57,18,0,22,170,248,248,700,546,584,"fig|536231.75.peg.2186|RIL182_02069   S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02070,1030,1282,2657.295,144,137,195,113,154,36,1378,1191,1304,1976,1525,1588,"fig|536231.75.peg.2187|RIL182_02070   Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02071,263,364,650,24,36,30,53,64,22,964,912,1162,648,591,628,"fig|536231.75.peg.2188|RIL182_02071   Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02072,101,247,383,17,32,13,12,34,12,536,569,634,1589,992,1348,"fig|536231.75.peg.2189|RIL182_02072   Ribonuclease BN   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02073,266,506,795,66,43,38,99,70,39,1350,1579,1348,2611,2000,2181,"fig|536231.75.peg.2190|RIL182_02073   SPOIID HOMOLOG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02074,102,183,348,39,55,39,44,17,48,1272,1044,1161,2994,2400,2583,"fig|536231.75.peg.2191|RIL182_02074   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02075,10313,14282,22710.211,1544,1876,1803,965,2075,785,30493,21711,37174,41954,32211,39629,"fig|536231.75.peg.2192|RIL182_02075   Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02076,404,537,787,81,125,105,119,67,71,698,1025,653,3756,3273,3202,"fig|536231.75.peg.2193|RIL182_02076   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02077,489,606,1088,109,126,63,32,52,19,1481.435,1313.149,1621,3797,3312.093,3643.718,"fig|536231.75.peg.2194|RIL182_02077   domain of unknown function DUF1745   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02078,27,45,61,0,4,16,1,6,0,149.565,122.851,148,299,187.907,189.282,"fig|536231.75.peg.2195|RIL182_02078   Cytidine deaminase (EC 3.5.4.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02079,224,252,376,17,13,14,0,45,12,41,41,79,144,202,89,"fig|536231.75.peg.2196|RIL182_02079   Citrate synthase (si) (EC 2.3.3.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02080,182,284,365,45,69,65,67,139,80,2834,2223,2732,3366,2699,3328,"fig|536231.75.peg.2197|RIL182_02080   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02081,110,117,150,9,23,32,42,16,0,549,465,832,1037,867,1089,"fig|536231.75.peg.2198|RIL182_02081   Phosphate regulon transcriptional regulatory protein PhoB (SphR)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02082,0,2,5,0,0,0,0,0,0,7,5,0,10,21,17,"fig|536231.75.peg.2199|RIL182_02082   FIG01020128: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02083,462.727,527.205,576.828,80.526,64.57,58,11,19.225,0,474.484,287.979,303.154,1163.803,814.987,1096.34,"fig|536231.75.peg.2200|RIL182_02083   Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02084,856.273,1145.795,1391.172,149.474,156.43,150,10,123.775,20,1688.516,1220.021,1973.846,6467.197,4625.013,5778.66,"fig|536231.75.peg.2201|RIL182_02084   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02085,1220,1791,2791,235,239,282,136,193,114,2980,2614,3265,3718,2768,3269,"fig|536231.75.peg.2202|RIL182_02085   Threonine synthase (EC 4.2.3.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02086,94,97,129,22,13,17,0,34,0,112,180,172,854,654,772,"fig|536231.75.peg.2203|RIL182_02086   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_02087,449,543,670,59,114,85,33,25,12,465,380,559,2960,2324,2809,"fig|536231.75.peg.2204|RIL182_02087   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.2205   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.2205   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
