,gene_ids,,ko,EC_number,cogs,cogs_description,cogs_category
2535,RIL182_02558,hypothetical protein,-,-,29EZB,-,-
2536,RIL182_02559,hypothetical protein,NA,NA,NA,NA,NA
2537,RIL182_02560,hypothetical protein,NA,NA,NA,NA,NA
2538,RIL182_02561,hypothetical protein,-,-,COG3290,signal transduction protein with a C-terminal ATPase domain,T
2539,RIL182_02562,Mobile element protein,-,-,COG3335,"Psort location Cytoplasmic, score 8.87",L
2540,RIL182_02563,Mobile element protein,-,-,COG3415,"Psort location Cytoplasmic, score 8.87",L
2541,RIL182_02564,hypothetical protein,NA,NA,NA,NA,NA
2542,RIL182_02565,Two-component transcriptional response regulator%2C LuxR family,-,-,COG3279,LytTr DNA-binding domain,T
2543,RIL182_02566,hypothetical protein,ko:K07813,-,COG4512,"Psort location CytoplasmicMembrane, score",KOT
2544,RIL182_02567,hypothetical protein,-,-,2EKDM,-,-
2545,RIL182_02568,hypothetical protein,-,-,COG3290,ATPase histidine kinase DNA gyrase B,T
2546,RIL182_02569,Autolysin response regulator,-,-,COG3279,LytTr DNA-binding domain,T
2547,RIL182_02570,hypothetical protein,-,-,COG1396,"Psort location Cytoplasmic, score",K
2548,RIL182_02571,Protein of unknown function DUF419,-,-,COG2315,YjbR,S
2549,RIL182_02572,Methionine ABC transporter ATP-binding protein,ko:K06147,-,COG1132,ABC transporter transmembrane region,V
2550,RIL182_02573,peptidase S8 and S53%2C subtilisin%2C kexin%2C sedolisin,-,-,COG1404,Subtilase family,O
2551,RIL182_02574,hypothetical protein,NA,NA,NA,NA,NA
2552,RIL182_02575,hypothetical protein,-,-,2ACYN,-,-
2553,RIL182_02576,Radical SAM domain protein,ko:K06871,-,COG0641,4Fe-4S single cluster domain,C
2554,RIL182_02577,hypothetical protein,NA,NA,NA,NA,NA
2555,RIL182_02578,hypothetical protein,-,-,29YQC,-,-
2556,RIL182_02579,hypothetical protein,-,-,2900P,-,-
2557,RIL182_02580,Methyl-accepting chemotaxis protein,ko:K03406,-,COG0840,methyl-accepting chemotaxis protein,NT
2558,RIL182_02581,hypothetical protein,NA,NA,NA,NA,NA
2559,RIL182_02582,hypothetical protein,-,-,COG0500,methyltransferase,Q
2560,RIL182_02583,hypothetical protein,-,-,2F88A,Phosphoribosyl-ATP pyrophosphohydrolase,S
2561,RIL182_02584,hypothetical protein,ko:K06966,3.2.2.10,COG1611,cytokinin biosynthetic process,S
2562,RIL182_02585,hypothetical protein,-,-,COG1533,"Psort location Cytoplasmic, score 8.87",L
2563,RIL182_02586,hypothetical protein,ko:K08217,-,COG0477,Transmembrane secretion effector,EGP
2564,RIL182_02587,Retron-type RNA-directed DNA polymerase (EC 2.7.7.49),-,-,COG3344,Reverse transcriptase (RNA-dependent DNA polymerase),L
2565,RIL182_02588,hypothetical protein,-,-,COG1961,Domain of unknown function (DUF4368),L
2566,RIL182_02589,hypothetical protein,-,-,COG1961,"Psort location Cytoplasmic, score",L
2567,RIL182_02590,hypothetical protein,-,-,28MNT,"Psort location Cytoplasmic, score",S
2568,RIL182_02591,DNA-binding protein SpoVG,-,-,COG2088,SpoVG,D
2569,RIL182_02592,FIG00514076: hypothetical protein,-,-,2DC0U,"Psort location Cytoplasmic, score",S
2570,RIL182_02593,Sortase A%2C LPXTG specific,ko:K07284,3.4.22.70,COG3764,Sortase family,M
2571,RIL182_02594,hypothetical protein,-,-,COG0553,"Psort location Cytoplasmic, score",L
2572,RIL182_02595,Mobile element protein,ko:K07483,-,COG2963,Transposase,L
2573,RIL182_02596,Mobile element protein,-,-,COG2801,DDE domain,L
2574,RIL182_02597,hypothetical protein,-,-,COG0553,helicase C-terminal domain protein,L
2575,RIL182_02598,Mobile element protein,-,-,COG2801,DDE domain,L
2576,RIL182_02599,Mobile element protein,ko:K07483,-,COG2963,Transposase,L
2577,RIL182_02600,hypothetical protein,-,-,COG0827,"Psort location Cytoplasmic, score",L
2578,RIL182_02601,FIG00524942: hypothetical protein,-,-,2A9KM,"Psort location Cytoplasmic, score",S
2579,RIL182_02602,hypothetical protein,-,-,2F899,DpnD/PcfM-like protein,S
2580,RIL182_02603,FIG01020118: hypothetical protein,-,-,28IAI,-,-
2581,RIL182_02604,Mobile element protein,-,-,COG2801,DDE domain,L
2582,RIL182_02605,Mobile element protein,ko:K07483,-,COG2963,Transposase,L
2583,RIL182_02606,hypothetical protein,-,-,COG0791,NlpC/P60 family,M
2584,RIL182_02607,hypothetical protein,-,-,2E73X,-,-
2585,RIL182_02608,Type IV secretory pathway%2C VirB4 components,-,-,COG3451,"Psort location Cytoplasmic, score 8.96",U
2586,RIL182_02609,Mobile element protein,ko:K07483,-,COG2963,Transposase,L
2587,RIL182_02610,Mobile element protein,-,-,COG2801,DDE domain,L
2588,RIL182_02611,Type IV secretory pathway%2C VirB4 components,-,-,COG3451,"Psort location Cytoplasmic, score 8.96",U
2589,RIL182_02612,FIG00517673: hypothetical protein,-,-,28XQJ,PrgI family protein,S
2590,RIL182_02613,FIG00526148: hypothetical protein,-,-,28MPH,Domain of unknown function (DUF4313),S
2591,RIL182_02614,FIG01020006: hypothetical protein,-,-,2DB6V,"Psort location CytoplasmicMembrane, score",S
2592,RIL182_02615,hypothetical protein,-,-,299KT,"Psort location CytoplasmicMembrane, score",S
2593,RIL182_02616,hypothetical protein,NA,NA,NA,NA,NA
2594,RIL182_02617,FIG01020163: hypothetical protein,ko:K03205,-,COG3505,"COG COG3505 Type IV secretory pathway, VirD4 components",U
2595,RIL182_02618,FIG00527424: hypothetical protein,-,-,2CF7U,"Psort location Cytoplasmic, score 8.87",S
2596,RIL182_02619,FIG01020098: hypothetical protein,-,-,2CJ59,"Psort location Cytoplasmic, score",S
2597,RIL182_02620,FIG00514920: hypothetical protein,-,-,28M18,"Psort location Cytoplasmic, score",S
2598,RIL182_02621,RLX protein,-,-,COG3843,Relaxase/Mobilisation nuclease domain,U
2599,RIL182_02622,FIG01019950: hypothetical protein,-,-,2DM28,Bacterial mobilisation protein (MobC),S
2600,RIL182_02623,FIG01020271: hypothetical protein,-,-,28JWV,"Psort location Cytoplasmic, score",S
2601,RIL182_02624,TnpY,-,-,COG0358,"Psort location Cytoplasmic, score",L
2602,RIL182_02625,UPF0758 family protein,-,-,COG2003,DNA repair,L
2603,RIL182_02626,hypothetical protein,-,-,28RBS,"Psort location Cytoplasmic, score",S
2604,RIL182_02627,FIG00525840: hypothetical protein,-,-,28PM6,"Psort location Cytoplasmic, score 8.87",S
2605,RIL182_02628,hypothetical protein,NA,NA,NA,NA,NA
2606,RIL182_02629,FIG00530593: hypothetical protein,-,-,2AG7F,-,-
2607,RIL182_02630,FIG00515822: hypothetical protein,ko:K18640,-,2DBA0,"Psort location Cytoplasmic, score 8.87",S
2608,RIL182_02631,hypothetical protein,-,-,294TU,-,-
2609,RIL182_02632,Transcriptional regulator%2C Xre family,-,-,COG1396,Bacteriophage CI repressor helix-turn-helix domain,K
2610,RIL182_02633,Maff2 family protein,-,-,2CDEH,Maff2 family,S
2611,RIL182_02634,TrsK-like protein,ko:K03205,-,COG3505,Type IV secretory system Conjugative DNA transfer,U
2612,RIL182_02635,hypothetical protein,-,-,2E8ED,Transposon-encoded protein TnpW,S
2613,RIL182_02636,TnpY-like protein,-,-,COG0358,COG NOG14428 non supervised orthologous group,L
2614,RIL182_02637,mobilization/transfer protein,-,-,COG1196,MobA MobL family protein,D
2615,RIL182_02638,hypothetical protein,-,-,292P2,Protein of unknown function (DUF3847),S
2616,RIL182_02639,ABC-type antimicrobial peptide transport system%2C ATPase component,ko:K02003,-,COG1136,ATPases associated with a variety of cellular activities,V
2617,RIL182_02640,hypothetical protein,-,-,COG4652,"Psort location CytoplasmicMembrane, score",S
2618,RIL182_02641,TnpV,-,-,2C5R4,"Psort location Cytoplasmic, score 8.87",S
2619,RIL182_02642,TrsK-like protein,-,-,COG1961,"Psort location Cytoplasmic, score 8.87",L
2620,RIL182_02643,hypothetical protein,-,-,28I1B,Protein of unknown function (DUF3801),S
2621,RIL182_02644,hypothetical protein,NA,NA,NA,NA,NA
2622,RIL182_02645,hypothetical protein,NA,NA,NA,NA,NA
2623,RIL182_02646,hypothetical protein,NA,NA,NA,NA,NA
2624,RIL182_02647,hypothetical protein,-,-,2D7U9,-,-
2625,RIL182_02648,hypothetical protein,-,-,2BAQE,-,-
2626,RIL182_02649,Replication initiation protein A,-,-,2DBC6,Replication initiator protein A,S
2627,RIL182_02650,Chromosome (plasmid) partitioning protein ParB,-,-,COG1475,ParB-like nuclease domain,K
2628,RIL182_02651,Chromosome (plasmid) partitioning protein ParA,ko:K03496,-,COG1192,"4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",D
2629,RIL182_02652,hypothetical protein,-,-,2C7EF,-,-
2630,RIL182_02653,hypothetical protein,-,-,2CUHA,-,-
2631,RIL182_02654,Pyruvate%2Cphosphate dikinase (EC 2.7.9.1),ko:K01006,2.7.9.1,COG0574,Belongs to the PEP-utilizing enzyme family,G
2632,RIL182_02655,Endo-1%2C4-beta-xylanase (EC 3.2.1.8),-,-,COG2340,Listeria-Bacteroides repeat domain (List_Bact_rpt),M
2633,RIL182_02656,Endo-1%2C4-beta-xylanase (EC 3.2.1.8),NA,NA,NA,NA,NA
2634,RIL182_02657,NADPH-dependent butanol dehydrogenase,-,-,COG1454,alcohol dehydrogenase,C
2635,RIL182_02658,hypothetical protein,-,-,28J8A,-,-
2636,RIL182_02659,Glycosyltransferase,-,-,COG0438,"Stealth protein CR2, conserved region 2",M
2637,RIL182_02660,Chaperone protein HtpG,ko:K04079,-,COG0326,Molecular chaperone. Has ATPase activity,O
2638,RIL182_02661,NADH-dependent butanol dehydrogenase A (EC 1.1.1.-),ko:K19955,-,COG1979,Iron-containing alcohol dehydrogenase,C
2639,RIL182_02662,[FeFe]-hydrogenase maturation protein HydF,-,-,COG0486,Hydrogenase maturation GTPase HydF,S
2640,RIL182_02663,[FeFe]-hydrogenase maturation protein HydG,ko:K03150,4.1.99.19,COG0502,biosynthesis protein ThiH,C
2641,RIL182_02664,[FeFe]-hydrogenase maturation protein HydE,ko:K01012,2.8.1.6,COG0502,Iron-only hydrogenase maturation rSAM protein HydE,C
2642,RIL182_02665,hypothetical protein,-,-,COG0864,Iron-only hydrogenase system regulator,K
2643,RIL182_02666,[NiFe] hydrogenase nickel incorporation protein HypA,ko:K04651,-,COG0375,"Hydrogenase/urease nickel incorporation, metallochaperone, hypA",S
2644,RIL182_02667,Formate dehydrogenase-O%2C major subunit (EC 1.2.1.2),ko:K00123,1.17.1.9,COG0493,Pyridine nucleotide-disulphide oxidoreductase,C
2645,RIL182_02668,[NiFe] hydrogenase nickel incorporation-associated protein HypB,ko:K04652,-,COG0378,"CobW/HypB/UreG, nucleotide-binding domain",KO
2646,RIL182_02670,Uncharacterized protein COG3236,ko:K09935,-,COG5113,Domain of unknown function (DUF1768),O
2647,RIL182_02671,hypothetical protein,-,-,29AZ1,"Psort location Cytoplasmic, score 8.87",S
2648,RIL182_02672,Ribosomal protein L1,-,-,28KQ0,Protein of unknown function (DUF3990),S
2649,RIL182_02674,hypothetical protein,-,-,COG3210,Leucine rich repeats (6 copies),U
2650,RIL182_02675,hypothetical protein,ko:K01567,-,COG0726,delta-lactam-biosynthetic de-N-acetylase,G
2651,RIL182_02676,Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW,-,-,COG0635,Involved in the biosynthesis of porphyrin-containing compound,H
2652,RIL182_02677,Translation elongation factor LepA,ko:K03596,-,COG0481,"Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner",M
2653,RIL182_02678,alpha-xylosidase (EC 3.2.1.177),ko:K01811,3.2.1.177,COG1501,Belongs to the glycosyl hydrolase 31 family,G
2654,RIL182_02679,beta-1%2C4-glucanase (cellulase) (EC 3.2.1.4),-,-,COG4447,cellulose binding,S
2655,RIL182_02680,Retron-type RNA-directed DNA polymerase (EC 2.7.7.49),-,-,COG3344,Reverse transcriptase,L
2656,RIL182_02681,tRNA-(cytosine32)-2-thiocytidine synthetase TtcA,-,-,COG0037,ATPase of the PP-loop superfamily implicated in cell cycle control,H
2657,RIL182_02682,UDP-N-acetylmuramoyl-dipeptide--2%2C6-diaminopimelate ligase (EC 6.3.2.13),ko:K01928,6.3.2.13,COG0769,Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan,M
2658,RIL182_02683,Diaminopimelate epimerase (EC 5.1.1.7),ko:K01778,5.1.1.7,COG0253,"Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan",E
2659,RIL182_02684,Cystathionine gamma-synthase (EC 2.5.1.48),"ko:K01739,ko:K01760","2.5.1.48,4.4.1.8",COG0626,PFAM Cys Met metabolism,E
2660,RIL182_02685,hypothetical protein,-,-,COG1917,transcriptional regulator (AraC family),K
2661,RIL182_02686,Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1),ko:K15986,3.6.1.1,COG1227,domain protein,C
2662,RIL182_02687,hypothetical protein,-,-,2E4NI,-,-
2663,RIL182_02688,PTS system%2C N-acetylglucosamine-specific IIC component / PTS system%2C N-acetylglucosamine-specific IIB component (EC 2.7.1.193),"ko:K02803,ko:K02804",2.7.1.193,COG1263,pts system,G
2664,RIL182_02689,PTS system%2C beta-glucoside-specific IIA component,"ko:K02755,ko:K02756,ko:K02757,ko:K02777",-,COG2190,"PTS system, glucose subfamily, IIA",G
2665,RIL182_02690,Beta-glucoside bgl operon antiterminator%2C BglG family,ko:K03488,-,COG3711,transcriptional antiterminator,K
2666,RIL182_02691,Phosphotransferase system%2C phosphocarrier protein HPr,ko:K11189,-,COG1925,phosphoenolpyruvate-dependent sugar phosphotransferase system,G
2667,RIL182_02692,Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9),"ko:K01007,ko:K08483","2.7.3.9,2.7.9.2",COG1080,General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr),G
2668,RIL182_02693,Pyruvate-flavodoxin oxidoreductase,ko:K03737,1.2.7.1,COG0674,Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin,C
2669,RIL182_02694,hypothetical protein,-,-,COG2199,GGDEF domain,T
2670,RIL182_02695,Bis-ABC ATPase YbiT,-,-,COG0488,ABC transporter,S
2671,RIL182_02696,hypothetical protein,NA,NA,NA,NA,NA
2672,RIL182_02697,Phosphoglycolate phosphatase (EC 3.1.3.18),ko:K01091,3.1.3.18,COG0546,HAD-hyrolase-like,F
2673,RIL182_02698,Cysteine desulfurase (EC 2.8.1.7),ko:K04487,2.8.1.7,COG1104,"Master enzyme that delivers sulfur to a number of partners involved in Fe-S cluster assembly, tRNA modification or cofactor biosynthesis. Catalyzes the removal of elemental sulfur atoms from cysteine to produce alanine. Functions as a sulfur delivery protein for Fe-S cluster synthesis onto IscU, an Fe-S scaffold assembly protein, as well as other S acceptor proteins",E
2674,RIL182_02699,hypothetical protein,ko:K06409,-,COG2244,Stage V sporulation protein B,S
2675,RIL182_02700,Chaperone protein DnaJ,ko:K05516,-,COG0484,DnaJ molecular chaperone homology domain,O
2676,RIL182_02701,Polysaccharide deacetylase,-,-,COG0726,Polysaccharide deacetylase,G
2677,RIL182_02702,Ferrous iron transporter-associated protein FeoA / Ferrous iron transporter FeoB,ko:K04759,-,COG0370,transporter of a GTP-driven Fe(2 ) uptake system,P
2678,RIL182_02703,Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps,-,-,COG0534,MATE efflux family protein,V
2679,RIL182_02704,Nudix hydrolase-like protein,-,-,COG1443,NUDIX domain,I
2680,RIL182_02705,hypothetical protein,NA,NA,NA,NA,NA
2681,RIL182_02706,Site-specific recombinase,-,-,COG1961,"Psort location Cytoplasmic, score",L
2682,RIL182_02707,Site-specific recombinase,-,-,COG1961,Recombinase zinc beta ribbon domain,L
2683,RIL182_02708,Site-specific recombinase,-,-,COG1961,"Psort location Cytoplasmic, score",L
2684,RIL182_02709,FIG01020176: hypothetical protein,-,-,2DMSX,-,-
2685,RIL182_02710,hypothetical protein,NA,NA,NA,NA,NA
2686,RIL182_02711,DinG family ATP-dependent helicase YpvA,ko:K03722,3.6.4.12,COG1199,helicase involved in DNA repair and perhaps also replication,L
2687,RIL182_02712,hypothetical protein,ko:K06871,-,COG0641,radical SAM,C
2688,RIL182_02713,hypothetical protein,-,-,COG5635,Nacht domain,T
2689,RIL182_02714,Site-specific tyrosine recombinase XerD,"ko:K03733,ko:K04763",-,COG4974,Belongs to the 'phage' integrase family,L
2690,RIL182_02715,hypothetical protein,-,-,COG1595,RNA polymerase sigma factor,K
2691,RIL182_02716,hypothetical protein,-,-,COG1191,sigma factor activity,K
2692,RIL182_02717,hypothetical protein,-,-,COG3290,"Psort location CytoplasmicMembrane, score",T
2693,RIL182_02718,Two-component transcriptional response regulator%2C LuxR family,-,-,COG3279,LytTr DNA-binding domain,KT
2694,RIL182_02719,hypothetical protein,-,-,COG1476,Cro/C1-type HTH DNA-binding domain,K
2695,RIL182_02720,FIG01020402: hypothetical protein,-,-,2E4BD,-,-
2696,RIL182_02721,hypothetical protein,-,-,2E5DE,-,-
2697,RIL182_02722,hypothetical protein,-,-,COG3385,PFAM Transposase DDE domain,L
2698,RIL182_02723,hypothetical protein,-,-,2EISZ,-,-
2699,RIL182_02724,Mobile element protein,ko:K07481,-,COG3039,Transposase domain (DUF772),L
2700,RIL182_02725,hypothetical protein,NA,NA,NA,NA,NA
2701,RIL182_02726,hypothetical protein,NA,NA,NA,NA,NA
2702,RIL182_02727,beta-galactosidase (EC 3.2.1.23),-,-,COG1874,Glycosyl hydrolases family 35,G
2703,RIL182_02728,beta-galactosidase (EC 3.2.1.23),-,-,COG1874,Glycosyl hydrolases family 35,G
2704,RIL182_02729,hypothetical protein,NA,NA,NA,NA,NA
2705,RIL182_02730,beta-glucosidase (EC 3.2.1.21),-,-,COG1472,"Psort location Cytoplasmic, score",G
2706,RIL182_02731,beta-glucosidase (EC 3.2.1.21),ko:K05349,3.2.1.21,COG1472,"hydrolase, family 3",G
2707,RIL182_02732,alpha-L-rhamnosidase (EC 3.2.1.40),-,-,COG3408,Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain,G
2708,RIL182_02733,Xyloside transporter XynT,-,-,COG2211,MFS/sugar transport protein,G
2709,RIL182_02734,glycosyltransferase 36,-,-,COG3459,Glycosyltransferase 36 associated,G
2710,RIL182_02735,hypothetical protein,-,-,COG3934,Belongs to the glycosyl hydrolase 5 (cellulase A) family,G
2711,RIL182_02736,Xylose activator XylR (AraC family),-,-,COG2207,"helix_turn_helix, arabinose operon control protein",K
2712,RIL182_02737,beta-glucosidase (EC 3.2.1.21),-,-,COG1472,Fibronectin type III-like domain,G
2713,RIL182_02738,hypothetical protein,ko:K06206,-,COG1489,Belongs to the SfsA family,S
2714,RIL182_02739,Rhs family protein,-,-,COG3209,COG3209 Rhs family protein,M
2715,RIL182_02740,hypothetical protein,-,-,COG0286,site-specific DNA-methyltransferase (adenine-specific) activity,V
2716,RIL182_02741,Mobile element protein,-,-,COG2801,DDE domain,L
2717,RIL182_02742,hypothetical protein,-,-,2CAV4,-,-
2718,RIL182_02743,Mobile element protein,ko:K07484,-,COG3436,PFAM IS66 Orf2,L
2719,RIL182_02744,hypothetical protein,-,-,COG4974,PFAM transposase IS66,L
2720,RIL182_02745,Mobile element protein,ko:K07483,-,COG2963,Transposase,L
2721,RIL182_02746,hypothetical protein,-,-,COG3385,PFAM Transposase DDE domain,L
2722,RIL182_02747,Hypothetical protein%2C CF-38 family,-,-,COG5620,Domain of unknown function (DUF1851),S
2723,RIL182_02748,hypothetical protein,-,-,COG3501,Rhs element vgr protein,F
2724,RIL182_02749,FIG01243758: hypothetical protein,-,-,COG4859,Protein conserved in bacteria,S
2725,RIL182_02750,hypothetical protein,ko:K06867,-,COG0666,response to abiotic stimulus,G
2726,RIL182_02751,hypothetical protein,-,-,COG3547,Transposase IS116/IS110/IS902 family,L
2727,RIL182_02752,hypothetical protein,NA,NA,NA,NA,NA
2728,RIL182_02753,protein phosphatase 1%2C regulatory subunit 10,NA,NA,NA,NA,NA
2729,RIL182_02754,hypothetical protein,NA,NA,NA,NA,NA
2730,RIL182_02755,protein phosphatase 1%2C regulatory subunit 10,-,-,COG3501,Rhs element vgr protein,F
2731,RIL182_02756,hypothetical protein,NA,NA,NA,NA,NA
2732,RIL182_02757,hypothetical protein,-,-,COG3501,Rhs element vgr protein,F
2733,RIL182_02758,hypothetical protein,-,-,2EBMR,-,-
2734,RIL182_02759,hypothetical protein,-,-,COG3501,Rhs element vgr protein,F
2735,RIL182_02760,conserved hypothetical protein,NA,NA,NA,NA,NA
2736,RIL182_02761,hypothetical protein,-,-,COG3501,Rhs element vgr protein,F
2737,RIL182_02762,hypothetical protein,NA,NA,NA,NA,NA
2738,RIL182_02763,hypothetical protein,NA,NA,NA,NA,NA
2739,RIL182_02764,hypothetical protein,NA,NA,NA,NA,NA
2740,RIL182_02765,hypothetical protein,-,-,COG3501,Rhs element vgr protein,F
2741,RIL182_02766,hypothetical protein,-,-,2EE7B,Domain of unknown function (DUF4280),S
2742,RIL182_02767,hypothetical protein,-,-,2C9EF,Domain of unknown function (DUF1911),S
2743,RIL182_02768,Transposase,-,-,COG3039,Transposase,L
2744,RIL182_02769,hypothetical protein,-,-,COG3501,Rhs element vgr protein,F
2745,RIL182_02770,FIG00515162: hypothetical protein,-,-,2EE7B,Domain of unknown function (DUF4280),S
2746,RIL182_02771,hypothetical protein,-,-,2E4BD,-,-
2747,RIL182_02772,hypothetical protein,-,-,2ER0I,-,-
2748,RIL182_02773,FIG01019967: hypothetical protein,-,-,2EFPB,-,-
2749,RIL182_02774,hypothetical protein,-,-,COG3501,Rhs element vgr protein,S
2750,RIL182_02775,FIG01019967: hypothetical protein,-,-,2EFPB,-,-
2751,RIL182_02776,hypothetical protein,-,-,28N3U,-,-
2752,RIL182_02777,hypothetical protein,-,-,COG0443,Heat shock 70 kDa protein,O
2753,RIL182_02778,FIG01020205: hypothetical protein,-,-,28N97,-,-
2754,RIL182_02779,hypothetical protein,-,-,28ISJ,"Psort location Cytoplasmic, score",S
2755,RIL182_02780,hypothetical protein,-,-,COG0631,"Serine/threonine phosphatases, family 2C, catalytic domain",T
2756,RIL182_02781,Protein serine/threonine phosphatase PrpC%2C regulation of stationary phase,ko:K20074,3.1.3.16,COG0631,"Serine/threonine phosphatases, family 2C, catalytic domain",T
2757,RIL182_02782,hypothetical protein,-,-,COG1716,Histidine kinase,T
2758,RIL182_02783,hypothetical protein,-,-,COG1716,FHA domain,T
2759,RIL182_02784,Chaperone protein DnaJ,ko:K03686,-,COG0484,Molecular chaperone,O
2760,RIL182_02785,hypothetical protein,-,-,2AGPY,-,-
2761,RIL182_02786,FIG00522781: hypothetical protein,-,-,2AGPY,-,-
2762,RIL182_02787,hypothetical protein,-,-,2C1IS,"Psort location Cytoplasmic, score",S
2763,RIL182_02788,hypothetical protein,-,-,COG2304,von Willebrand factor type A domain,S
2764,RIL182_02789,putative AIP processing-secretion protein,ko:K07813,-,COG4512,PFAM Accessory gene regulator B,KOT
2765,RIL182_02790,Agr autoinducer peptide precursor,NA,NA,NA,NA,NA
2766,RIL182_02791,hypothetical protein,-,-,COG3290,"Psort location CytoplasmicMembrane, score",T
2767,RIL182_02792,hypothetical protein,-,-,COG3279,phosphorelay signal transduction system,KT
2768,RIL182_02793,Putative regulatory protein,-,-,COG1396,sequence-specific DNA binding,K
2769,RIL182_02794,Chromosome (plasmid) partitioning protein ParA,ko:K03496,-,COG1192,Cellulose biosynthesis protein BcsQ,D
2770,RIL182_02795,hypothetical protein,-,-,COG1404,Belongs to the peptidase S8 family,O
2771,RIL182_02796,hypothetical protein,-,-,COG5523,Protein of unknown function (DUF975),S
2772,RIL182_02797,metal-dependent phosphohydrolase%2C HD subdomain,-,-,COG2206,"metal-dependent phosphohydrolase, HD sub domain",T
2773,RIL182_02798,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4),ko:K01953,6.3.5.4,COG0367,"Asparagine synthase, glutamine-hydrolyzing",E
2774,RIL182_02799,putative membrane-associated phospholipid phosphatase%2C PAP2 superfamily,ko:K19302,3.6.1.27,COG0671,"Psort location CytoplasmicMembrane, score",I
2775,RIL182_02800,Stage II sporulation protein P,ko:K06385,-,COG0860,stage II sporulation protein P,M
2776,RIL182_02801,Spore germination endopeptidase Gpr (EC 3.4.24.78),ko:K06012,3.4.24.78,COG0680,"Initiates the rapid degradation of small, acid-soluble proteins during spore germination",C
2777,RIL182_02802,SSU ribosomal protein S20p,ko:K02968,-,COG0268,Binds directly to 16S ribosomal RNA,J
2778,RIL182_02803,DNA polymerase III delta subunit (EC 2.7.7.7),ko:K02340,2.7.7.7,COG1466,DNA polymerase III (delta' subunit),L
2779,RIL182_02804,DNA internalization-related competence protein ComEC/Rec2,ko:K02238,-,COG0658,Competence protein ComEC,M
2780,RIL182_02805,Spore germination protein,ko:K06298,-,COG5401,Sporulation and spore germination,S
2781,RIL182_02806,Osmosensitive K+ channel histidine kinase KdpD,ko:K02484,2.7.13.3,COG5002,Histidine kinase,T
2782,RIL182_02807,Two-component transcriptional response regulator%2C OmpR family,-,-,COG0745,response regulator receiver,T
2783,RIL182_02808,Late competence protein ComEA%2C DNA receptor,ko:K02237,-,COG1555,"TIGRFAM Competence protein ComEA, helix-hairpin-helix",L
2784,RIL182_02809,hypothetical protein,-,-,COG2182,Bacterial extracellular solute-binding protein,G
2785,RIL182_02810,N-acetylornithine aminotransferase (EC 2.6.1.11),ko:K00821,"2.6.1.11,2.6.1.17",COG4992,PFAM Aminotransferase class-III,E
2786,RIL182_02811,N-acetylglutamate kinase (EC 2.7.2.8),ko:K00930,2.7.2.8,COG0548,Belongs to the acetylglutamate kinase family. ArgB subfamily,E
2787,RIL182_02812,Glutamate N-acetyltransferase (EC 2.3.1.35) @ N-acetylglutamate synthase (EC 2.3.1.1),ko:K00620,"2.3.1.1,2.3.1.35",COG1364,"Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate",E
2788,RIL182_02813,Predicted amino-acid acetyltransferase (EC 2.3.1.1) complementing ArgA function in Arginine Biosynthesis pathway,ko:K22477,2.3.1.1,COG0454,"Acetyltransferase, gnat family",K
2789,RIL182_02814,N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38),ko:K00145,1.2.1.38,COG0002,Catalyzes the NADPH-dependent reduction of N-acetyl-5- glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde,E
2790,RIL182_02815,Argininosuccinate synthase (EC 6.3.4.5),ko:K01940,6.3.4.5,COG0137,Belongs to the argininosuccinate synthase family. Type 1 subfamily,E
2791,RIL182_02816,Amidohydrolase family protein,"ko:K01436,ko:K21613",-,COG1473,Peptidase dimerisation domain,E
