,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,original_tags
RIL182_01596,1495,1226,1499,1826,1409,1501,2723,1320,1637,"fig|536231.75.peg.1691|RIL182_01596   S-adenosylhomocysteine deaminase (EC 3.5.4.28); Methylthioadenosine deaminase (EC 3.5.4.31)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01597,647,535,854,1241,771,984,977,942,817,"fig|536231.75.peg.1692|RIL182_01597   Metal-dependent hydrolase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01598,108,51,67,139,67,64,43,23,22,"fig|536231.75.peg.1693|RIL182_01598   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01599,5287,3790,5205,5046,5198,4530,5882,4034,3406,"fig|536231.75.peg.1694|RIL182_01599   Alanyl-tRNA synthetase (EC 6.1.1.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01600,3036,2844,4001,4069,3632,3116,2419,1736,2037,"fig|536231.75.peg.1695|RIL182_01600   Methyl-accepting chemotaxis sensor/transducer protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01601,767,492,783,1566,700,842,5058,992,912,"fig|536231.75.peg.1696|RIL182_01601   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01602,481,265,218,33,90,0,2263,63,46,"fig|536231.75.peg.1697|RIL182_01602   SSU ribosomal protein S21p   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01603,452,494,324,567,367,312,2995,421,518,"fig|536231.75.peg.1698|RIL182_01603   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01604,530,373,353,264,295,199,196,281,197,"fig|536231.75.peg.1699|RIL182_01604   Protein of unknown function DUF1121   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01605,245,228,283,373,134,182,628,230,215,"fig|536231.75.peg.1700|RIL182_01605   Efflux ABC transporter, permease/ATP-binding protein YwjA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01606,1687,1188,1554,2014,1496,1254,2506,1421,1147,"fig|536231.75.peg.1701|RIL182_01606   Metal chaperone, involved in Zn homeostasis   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01607,1635,1103,1377,1622,1213,1242,7600,1710,1357,"fig|536231.75.peg.1702|RIL182_01607   Uncharacterized membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01608,1330,640,838,875,853,702,1654,1195,897,"fig|536231.75.peg.1703|RIL182_01608   Hemerythrin domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01609,803,685,915,279,257,232,339,146,237,"fig|536231.75.peg.1704|RIL182_01609   ABC transporter, substrate-binding protein (cluster 15, trp?)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01610,675,605,831,490,228,339,496,147,200,"fig|536231.75.peg.1705|RIL182_01610   ABC transporter, permease protein (cluster 15, trp?)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01611,377,308,455,160,67,96,448,187,278,"fig|536231.75.peg.1706|RIL182_01611   ABC transporter, ATP-binding protein (cluster 15, trp?)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01612,1167,795,949,919,892,538,822,772,751,"fig|536231.75.peg.1707|RIL182_01612   NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit A   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01613,4562,3752,3475,3361,2437,2206,5314,2514,2342,"fig|536231.75.peg.1708|RIL182_01613   NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit B   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01614,6532,5181.047,5056,6098,4390,3601,9006,4685,3268,"fig|536231.75.peg.1709|RIL182_01614   Cation-transporting ATPase, E1-E2 family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01615,126,151,169,142,96,88,45,39,32,"fig|536231.75.peg.1710|RIL182_01615   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01616,126,112,156.423,40,31,33,28,32,51,"fig|536231.75.peg.1711|RIL182_01616   Efflux ABC transporter, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01617,98,34,77.577,22,6,12,90,13,0,"fig|536231.75.peg.1712|RIL182_01617   Transcriptional regulator, GntR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01618,1337,845,1007,1382,1067,836,2185,1183,1000,"fig|536231.75.peg.1713|RIL182_01618   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01619,1219,1047,1042,1819,1670,1385,3077,799,1248,"fig|536231.75.peg.1714|RIL182_01619   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01620,153.425,60.798,114.348,85.978,109.02,119.585,280.344,112.945,0,"fig|536231.75.peg.1715|RIL182_01620   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1716   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1716   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01621,84,44,31,44,50,49,78,53,40,"fig|536231.75.peg.1717|RIL182_01621   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1718   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1718   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01622,11,5,19,22,44,35,22,0,0,"fig|536231.75.peg.1719|RIL182_01622   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01623,4,0,1,4,0,0,0,0,26,"fig|536231.75.peg.1720|RIL182_01623   Uncharacterized transcriptional regulator YozG, Cro/CI family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01624,87,90,91,138,154,151,109,80,22,"fig|536231.75.peg.1721|RIL182_01624   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01625,775.867,505.605,588.944,485.663,397,299,267,281,375,"fig|536231.75.peg.1722|RIL182_01625   ABC transporter, substrate-binding protein (cluster 11, riboflavin/purine nucleoside/unknown)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01626,956.133,875.395,869.056,800.337,690,564,497,461,491,"fig|536231.75.peg.1723|RIL182_01626   ABC transporter, substrate-binding protein (cluster 11, riboflavin/purine nucleoside/unknown)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01627,989,715,923,914,643,613,1470,680,803,"fig|536231.75.peg.1724|RIL182_01627   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01628,64,28,33,68,139,44,102,64,65,"fig|536231.75.peg.1725|RIL182_01628   MutT/Nudix family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01629,940,767,631,2290,1448,1365,2297,2189,1389.448,"fig|536231.75.peg.1726|RIL182_01629   Methylglyoxal synthase (EC 4.2.3.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01630,3033,1964,1955,8176,4399,3764,4953,6255,5742.552,"fig|536231.75.peg.1727|RIL182_01630   DegV   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01631,169,118,172,134,83,141,125,88,78,"fig|536231.75.peg.1728|RIL182_01631   Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01632,110,57,121,104,42,19,189,59,48,"fig|536231.75.peg.1729|RIL182_01632   Transcriptional regulator, LysR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01633,1786,1270,1630,914,939,537,952,650,520,"fig|536231.75.peg.1730|RIL182_01633   Adenylosuccinate synthetase (EC 6.3.4.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01634,840,819,694,485,608,443,680,279,176,"fig|536231.75.peg.1731|RIL182_01634   HAD-superfamily hydrolase, subfamily IA, variant 3   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1732   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,2,0,0,0,0,0,"fig|536231.75.peg.1732   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01635,5894,3999,4250,4373,1696,1605,5386,2067,2309,"fig|536231.75.peg.1733|RIL182_01635   Gliding motility-associated ABC transporter ATP-binding protein GldA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01636,11503.912,7794,10084,4443,4138,3506,7193,2846,2581,"fig|536231.75.peg.1734|RIL182_01636   Gliding motility-associated ABC transporter permease protein GldF / Gliding motility-associated ABC transporter substrate-binding protein GldG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01637,4694,3250,3420,2327,1210,1549,5367,1512,1403,"fig|536231.75.peg.1735|RIL182_01637   FIG01020311: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1736   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",3,0,3,0,0,0,0,0,0,"fig|536231.75.peg.1736   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01638,519.582,235,397,304.845,364,308,430,326.917,200,"fig|536231.75.peg.1737|RIL182_01638   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01639,4066.418,3273,3691,4384.155,3686,3252,6029,3937.083,3165,"fig|536231.75.peg.1738|RIL182_01639   Citrate synthase (si) (EC 2.3.3.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01640,3,3,10,2,0,0,0,0,0,"fig|536231.75.peg.1739|RIL182_01640   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1740   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,1.987,0,9.779,0,42.456,29.387,0,"fig|536231.75.peg.1740   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01641,876,750,697,698,237,285,1770,323,368,"fig|536231.75.peg.1741|RIL182_01641   Protein with domain similar to SecA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01642,42,12,33,17,17,16,16,37,11,"fig|536231.75.peg.1742|RIL182_01642   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01643,6,2,2,0,0,0,4,31,0,"fig|536231.75.peg.1743|RIL182_01643   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01644,549,540,498,504,642,407,1088,323,298,"fig|536231.75.peg.1744|RIL182_01644   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01645,116,96,67,82,38,33,249,35,43,"fig|536231.75.peg.1745|RIL182_01645   FIG01020090: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01647,1395,1223,988,1396,1121,1003,1278,669,932.816,"fig|536231.75.peg.1746|RIL182_01647   Transcriptional regulator MraZ   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01648,1702,1225,1184,2165,984,1066,2475,889,1283.184,"fig|536231.75.peg.1747|RIL182_01648   16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01649,525,288,450,1154,772,363,2407,342,770,"fig|536231.75.peg.1748|RIL182_01649   Cell division protein FtsL   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01650,1383,953,1015,1738,925,891,10342,1137,2441,"fig|536231.75.peg.1749|RIL182_01650   Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01651,161,145,148,272,192,111,344,163,279,"fig|536231.75.peg.1750|RIL182_01651   Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129) @ Sporulation peptidoglycan synthetase SpoVD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01652,332,224,277,249,136,207,923,103,179,"fig|536231.75.peg.1751|RIL182_01652   Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01653,766,567,671,973,596,666,2140,481,388,"fig|536231.75.peg.1752|RIL182_01653   UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase (EC 6.3.2.9)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01654,251,165,227,181,205,87,573,171,176,"fig|536231.75.peg.1753|RIL182_01654   Peptidoglycan glycosyltransferase FtsW (EC 2.4.1.129) @ Stage V sporulation protein E   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01655,279,280,304,511,278,246,981,245,520,"fig|536231.75.peg.1754|RIL182_01655   Cell division protein FtsQ   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01656,4789,3078,3370,2341,1809,1723,10423,2494,2196,"fig|536231.75.peg.1755|RIL182_01656   Cell division protein FtsZ   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01657,3,14,8,15,11,0,0,20,8,"fig|536231.75.peg.1756|RIL182_01657   Sporulation sigma-E factor processing peptidase (SpoIIGA)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01658,17,28,22,35,0,0,33,43,24,"fig|536231.75.peg.1757|RIL182_01658   RNA polymerase sporulation specific sigma factor SigE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01659,2343,1827,1544,5714,2736,2758,7160,4709,5073,"fig|536231.75.peg.1758|RIL182_01659   Metallo-beta-lactamase family protein, RNA-specific   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01660,0,2,0,0,0,0,0,0,0,"fig|536231.75.peg.1759|RIL182_01660   RNA polymerase sporulation specific sigma factor SigG   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1760   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",3,1,0,4,0,0,17,2,0,"fig|536231.75.peg.1760   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01661,16,20,14,5,7,0,21,3,18,"fig|536231.75.peg.1761|RIL182_01661   FIG01020105: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01662,39,23,44,38,60,9,158,0,42,"fig|536231.75.peg.1762|RIL182_01662   Diaminopimelate epimerase (EC 5.1.1.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01663,21,5,11,9,12,0,39.828,39,12,"fig|536231.75.peg.1763|RIL182_01663   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01664,495,390,444,646,451,364,446.172,444,505,"fig|536231.75.peg.1764|RIL182_01664   UDP-glucose 4-epimerase (EC 5.1.3.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01665,249,181,237,248,150,124,658,191,66,"fig|536231.75.peg.1765|RIL182_01665   Predicted membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01666,339,243,402,353,303,281,579,146,241,"fig|536231.75.peg.1766|RIL182_01666   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01667,127,148,177,227,89,186,520,274,252,"fig|536231.75.peg.1767|RIL182_01667   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01668,181,135,171,336,150,96,478,196,132,"fig|536231.75.peg.1768|RIL182_01668   Lipopolysaccharide N-acetylglucosaminyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01669,466,398,386,793,295,301,363,311,345,"fig|536231.75.peg.1769|RIL182_01669   Transmembrane protein, ortholog TM1408   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01670,69.691,43.646,69,85,46,27,82,10,30,"fig|536231.75.peg.1770|RIL182_01670   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01671,351.309,264.354,236,506,278,332,1104,343,269,"fig|536231.75.peg.1771|RIL182_01671   Alpha-1,4-N-acetylgalactosamine transferase PglH (EC 2.4.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01672,98,88,145,144,150,153,148,58,153,"fig|536231.75.peg.1772|RIL182_01672   Glycosyl transferase, family 2?   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01673,54,31,48,43,29,16,105,70,0,"fig|536231.75.peg.1773|RIL182_01673   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01674,119,85,131,202,107,43,394,154,202,"fig|536231.75.peg.1774|RIL182_01674   Beta-1,3-glucosyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01675,142,120,201,300,134,111,566,171,160,"fig|536231.75.peg.1775|RIL182_01675   repeat unit transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01676,67,62,69,65,78,60,281,134,111,"fig|536231.75.peg.1776|RIL182_01676   repeat unit transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01677,59,60,65,162,97,110,196,132,105,"fig|536231.75.peg.1777|RIL182_01677   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01678,5814,5424,4485,3930,3985,3288,12031,3503,2849,"fig|536231.75.peg.1778|RIL182_01678   Glycosyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01679,2698,2548,2431,1393,2301,2093,4520,1981,1507,"fig|536231.75.peg.1779|RIL182_01679   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01680,3708,3661,3069,2696,3266,2785,6827,2503,1754,"fig|536231.75.peg.1780|RIL182_01680   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01681,1596.18,1057,1102,829,1020,706,2515,801,656,"fig|536231.75.peg.1781|RIL182_01681   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01682,1188.82,665,764,313,611,419,1646,651,364,"fig|536231.75.peg.1782|RIL182_01682   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01683,457,465,401,275,321,277,1022,335,225,"fig|536231.75.peg.1783|RIL182_01683   Efflux ABC transporter, permease/ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01684,94,89,69,49,94,83,91,66,125,"fig|536231.75.peg.1784|RIL182_01684   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01685,61.017,40,19,53,0,22,73.944,16,15,"fig|536231.75.peg.1785|RIL182_01685   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01686,2920.957,1512,1055,935,888,702,347.056,1252,735,"fig|536231.75.peg.1786|RIL182_01686   Substrate-specific component QueT (COG4708) of predicted queuosine-regulated ECF transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01687,1594.026,906,1210,852,555,653,1210,1048,534,"fig|536231.75.peg.1787|RIL182_01687   Arginyl-tRNA synthetase (EC 6.1.1.19)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01688,2378,1762,1720,2852,1353,1303,17319,2811,1986,"fig|536231.75.peg.1788|RIL182_01688   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01689,5343,4624,4158,25518,13888,13478,26736,11477,17063,"fig|536231.75.peg.1789|RIL182_01689   Carbon starvation protein A   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01690,2761,1837,2039,8037,5161,4739,25827,6068,5868,"fig|536231.75.peg.1790|RIL182_01690   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01691,1,0,3,21,80,0,56,11,0,"fig|536231.75.peg.1791|RIL182_01691   Stage III sporulation protein AA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01692,3,1,6,3,15,22,91,34,0,"fig|536231.75.peg.1792|RIL182_01692   Stage III sporulation protein AB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01693,1,0,0,4,0,1,0,23,0,"fig|536231.75.peg.1793|RIL182_01693   Stage III sporulation protein AC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01694,1,2,0,14,0,0,20,0,0,"fig|536231.75.peg.1794|RIL182_01694   Stage III sporulation protein AD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01695,5,0,6,36,18,0,168,6,21,"fig|536231.75.peg.1795|RIL182_01695   Stage III sporulation protein AE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01696,0,0,0,0,0,0,0,15,0,"fig|536231.75.peg.1796|RIL182_01696   Stage III sporulation protein AF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01697,0,0,0,0,6,0,0,0,0,"fig|536231.75.peg.1797|RIL182_01697   Stage III sporulation protein AG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01698,0,1,2,6,0,0,25,31,0,"fig|536231.75.peg.1798|RIL182_01698   Stage III sporulation protein AH   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1799   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",12,7,9,6,0,0,8,0,0,"fig|536231.75.peg.1799   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01699,30,24,22,43,0,45,115,16,17,"fig|536231.75.peg.1800|RIL182_01699   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01700,61,22,35,53,20,21,386,135,75,"fig|536231.75.peg.1801|RIL182_01700   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01701,903,684,679,490,575,369,813,518,375,"fig|536231.75.peg.1802|RIL182_01701   Phosphopentomutase (EC 5.4.2.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01702,1774,1294,1497.225,1512,1363,1072,1337,1384,1233,"fig|536231.75.peg.1803|RIL182_01702   Peptide chain release factor 3   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01703,160,131,167.775,143,174,98,145,64,99,"fig|536231.75.peg.1804|RIL182_01703   Thioredoxin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01704,103,64,45,36,14,28,61,45,40,"fig|536231.75.peg.1805|RIL182_01704   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1806   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1806   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01705,2000,2010,2167,1498,1014,852,1453,1021,1287,"fig|536231.75.peg.1807|RIL182_01705   RecA protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01706,82,65,133,269,47,63,238,163,81,"fig|536231.75.peg.1808|RIL182_01706   Regulatory protein RecX   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01707,7257,6246,5450,13255,10442,10708,38312,14670,14185,"fig|536231.75.peg.1809|RIL182_01707   Ribonuclease Y   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01708,243,123,150,198,139,79,986,191,224,"fig|536231.75.peg.1810|RIL182_01708   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01709,597,361,391,680,368,161,3471,372,549,"fig|536231.75.peg.1811|RIL182_01709   DNA-binding response regulator KdpE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01710,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1812|RIL182_01710   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1813   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1813   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01711,170,88,109,100,142,104,236,109,112,"fig|536231.75.peg.1814|RIL182_01711   ADP-ribose pyrophosphatase (EC 3.6.1.13)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01712,324,271,239,517,304,238,632,162,395,"fig|536231.75.peg.1815|RIL182_01712   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01713,732,516,440,305,418,307,1088,275,288,"fig|536231.75.peg.1816|RIL182_01713   Site-specific tyrosine recombinase XerD   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1817   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1817   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01714,486,490,311,104,148,167,725,216,169,"fig|536231.75.peg.1818|RIL182_01714   2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01715,74,49,37,37,60,65,75,53,18,"fig|536231.75.peg.1819|RIL182_01715   3-dehydroquinate dehydratase I (EC 4.2.1.10)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01716,443.634,320.997,473.129,653.025,528.582,400,1061.762,166.871,234.642,"fig|536231.75.peg.1820|RIL182_01716   Transcriptional regulator, MarR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01717,9475.366,8323.003,11550.616,7751.975,6020.418,5473,18008.238,4184.129,4425.358,"fig|536231.75.peg.1821|RIL182_01717   Efflux ABC transporter, permease/ATP-binding protein BLi02168   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01718,10257,8160,12239,6292,4913,4468,10500,3424,3518,"fig|536231.75.peg.1822|RIL182_01718   Efflux ABC transporter, permease/ATP-binding protein BLi02169   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01719,38,28,89,49,62,41,244,68,19,"fig|536231.75.peg.1823|RIL182_01719   L-lactate dehydrogenase (EC 1.1.1.27)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01720,183,110,118,275,209,168,357,195,233,"fig|536231.75.peg.1824|RIL182_01720   Glycosyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01722,2005,1413,1593,1991,1868,1589,2155,1417,1465,"fig|536231.75.peg.1825|RIL182_01722   FIG01020155: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01723,593,510,650,1019,343,313,1144,518,656,"fig|536231.75.peg.1826|RIL182_01723   LSU rRNA pseudouridine(2604) synthase (EC 5.4.99.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01724,1966,1466,1578,4058,1577,1726,5281,3456,3681,"fig|536231.75.peg.1827|RIL182_01724   DNA ligase (NAD(+)) (EC 6.5.1.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01725,1292,1061,1092,1508,715,573,2556,1181,1298,"fig|536231.75.peg.1828|RIL182_01725   Homoserine O-succinyltransferase (EC 2.3.1.46)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01726,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1829|RIL182_01726   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01727,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1830|RIL182_01727   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01728,0,0,0,0,0,0,7,0,0,"fig|536231.75.peg.1831|RIL182_01728   Filamentation induced by cAMP protein Fic   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01729,1709,1512,1241,987,681,863,348,339,486,"fig|536231.75.peg.1832|RIL182_01729   Alkaline shock protein   [Roseburia intestinalis L1-82 | 536231.75]
"
