,gene_id,description,ko,EC_number,cogs,cogs_description
2494,BT_2443,hypothetical protein,NA,NA,NA,NA
2495,BT_2444,hypothetical protein,NA,NA,NA,NA
2496,BT_2445,putative integrase,NA,NA,NA,NA
2497,BT_2446,integrase,NA,NA,COG4974,"Replication, recombination and repair"
2498,BT_2447,integrase,NA,NA,COG4974,"Replication, recombination and repair"
2499,BT_2448,Putative DNA binding protein,NA,NA,NA,NA
2500,BT_2449,hypothetical protein,NA,NA,NA,NA
2501,BT_2450,conserved hypothetical protein,NA,NA,NA,NA
2502,BT_2451,putative pyrogenic exotoxin B,NA,NA,NA,NA
2503,BT_2452,hypothetical protein,NA,NA,NA,NA
2504,BT_2453,hypothetical protein,NA,NA,NA,NA
2505,BT_2454,hypothetical protein,NA,NA,NA,NA
2506,BT_2455,reverse transcriptase/maturase family protein,NA,NA,COG3344,"Mobilome: prophages, transposons"
2507,BT_2456,putative reverse transcriptase/maturase,NA,NA,COG3344,"Mobilome: prophages, transposons"
2508,BT_2457,putative purple acid phosphatase,NA,NA,COG1409,Signal transduction mechanisms
2509,BT_2458,putative pyridine nucleotide-disulphide oxidoreductase,NA,NA,COG0644,Energy production and conversion
2510,BT_2459,beta-hexosaminidase precursor,K12373,3.2.1.52,COG3525,Carbohydrate transport and metabolism
2511,BT_2460,SusD homolog,K21572,NA,NA,NA
2512,BT_2461,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
2513,BT_2462,putative anti-sigma factor,NA,NA,COG3712,Signal transduction mechanisms
2514,BT_2463,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
2515,BT_2464,hypothetical protein,NA,NA,NA,NA
2516,BT_2465,conserved hypothetical protein,NA,NA,NA,NA
2517,BT_2466,conserved hypothetical protein,NA,NA,NA,NA
2518,BT_2467,hypothetical protein,NA,NA,NA,NA
2519,BT_2468,Putative DNA binding protein,NA,NA,NA,NA
2520,BT_2469,integrase,NA,NA,COG4974,"Replication, recombination and repair"
2521,BT_2470,putative outer membrane protein,NA,NA,NA,NA
2522,BT_2471,putative outer membrane protein,NA,NA,NA,NA
2523,BT_2472,hypothetical protein,NA,NA,NA,NA
2524,BT_2473,conserved hypothetical protein,NA,NA,NA,NA
2525,BT_2474,cytochrome c biogenesis protein ccsA,NA,NA,COG0755,"Posttranslational modification, protein turnover, chaperones"
2526,BT_2475,putative translation initiation inhibitor,NA,NA,COG0251,Defense mechanisms
2527,BT_2476,hypothetical protein,NA,NA,NA,NA
2528,BT_2477,conserved hypothetical protein,NA,NA,NA,NA
2529,BT_2478,thiol oxidoreductase,NA,NA,COG3488,General function prediction only
2530,BT_2479,iron-regulated protein A precursor,NA,NA,COG3489,General function prediction only
2531,BT_2480,Aminotransferase%2C class IV,NA,NA,NA,NA
2532,BT_2481,hypothetical protein,NA,NA,NA,NA
2533,BT_2482,transcriptional regulator,NA,NA,COG1309,Transcription
2534,BT_2483,hypothetical protein,NA,NA,NA,NA
2535,BT_2484,putative integrase,NA,NA,NA,NA
2536,BT_2485,major outer membrane protein OmpA,NA,NA,COG2885,Cell wall/membrane/envelope biogenesis
2537,BT_2486,hypothetical protein,NA,NA,NA,NA
2538,BT_2487,hypothetical protein,NA,NA,NA,NA
2539,BT_2488,integrase,NA,NA,COG4974,"Replication, recombination and repair"
2540,BT_2489,50S ribosomal protein L19,K02884,NA,COG0335,"Translation, ribosomal structure and biogenesis"
2541,BT_2490,hypothetical protein,NA,NA,NA,NA
2542,BT_2491,hypothetical protein,NA,NA,NA,NA
2543,BT_2492,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
2544,BT_2493,ROK family transcriptional repressor%2C with glucokinase domain,K25026,2.7.1.2,COG1940,Transcription
2545,BT_2494,ABC transporter%2C ATP-binding protein,K02003,NA,COG1136,Cell wall/membrane/envelope biogenesis
2546,BT_2495,ABC transporter%2C putative permease,K02004,NA,COG0577,Defense mechanisms
2547,BT_2496,putative ABC transporter%2C ATP-binding protein,K02004,NA,COG0577,Defense mechanisms
2548,BT_2497,membrane fusion efflux protein,K02005,NA,COG0845,Defense mechanisms
2549,BT_2498,putative outer membrane efflux protein,K12340,NA,COG1538,Cell wall/membrane/envelope biogenesis
2550,BT_2499,peptide methionine sulfoxide reductase msrA/msrB,K12267,1.8.4.12,COG0229,"Posttranslational modification, protein turnover, chaperones"
2551,BT_2500,conserved hypothetical protein,NA,NA,NA,NA
2552,BT_2501,penicillin-binding protein,NA,NA,COG0744,Cell wall/membrane/envelope biogenesis
2553,BT_2502,conserved hypothetical protein,NA,NA,NA,NA
2554,BT_2503,conserved hypothetical protein,NA,NA,NA,NA
2555,BT_2504,conserved hypothetical protein,NA,NA,NA,NA
2556,BT_2505,conserved hypothetical protein,K00243,NA,COG2996,General function prediction only
2557,BT_2506,hypothetical protein,NA,NA,NA,NA
2558,BT_2507,conserved hypothetical protein,NA,NA,NA,NA
2559,BT_2508,conserved hypothetical protein,NA,NA,NA,NA
2560,BT_2509,putative transcriptional regulator,NA,NA,COG2378,Transcription
2561,BT_2510,malate dehydrogenase,K00024,1.1.1.37,COG0039,Energy production and conversion
2562,BT_2511,putative transcription regulator,K03711,NA,COG0735,Inorganic ion transport and metabolism
2563,BT_2512,cation-transporting ATPase%2C P-type%2C putative zinc-transporting ATPase,K01534,7.2.2.21,COG2217,Inorganic ion transport and metabolism
2564,BT_2513,conserved hypothetical protein,K04095,2.7.7.108,COG3177,Transcription
2565,BT_2514,hypothetical protein,NA,NA,NA,NA
2566,BT_2515,hypothetical protein,NA,NA,NA,NA
2567,BT_2516,conserved hypothetical protein,NA,NA,NA,NA
2568,BT_2517,GcpE%2C 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,K03526,1.17.7.3,COG0821,Lipid transport and metabolism
2569,BT_2518,phosphoribosylaminoimidazole carboxylase,K01588,5.4.99.18,COG0041,Nucleotide transport and metabolism
2570,BT_2519,putative glycine cleavage system H protein,K02437,NA,COG0509,Amino acid transport and metabolism
2571,BT_2520,Phosphoesterase%2C PA-phosphatase,NA,NA,NA,NA
2572,BT_2521,RNA polymerase sigma-54,K03092,NA,COG1508,Transcription
2573,BT_2522,Xaa-Pro aminopeptidase,K01262,3.4.11.9,COG0006,Amino acid transport and metabolism
2574,BT_2523,alpha-rhamnosidase,K05989,3.2.1.40,NA,NA
2575,BT_2524,alpha-rhamnosidase,K05989,3.2.1.40,NA,NA
2576,BT_2525,cephalosporin-C deacetylase,NA,NA,COG3458,"Secondary metabolites biosynthesis, transport and catabolism"
2577,BT_2526,hypothetical protein,NA,NA,NA,NA
2578,BT_2527,uridine kinase (uridine monophosphokinase),K00876,2.7.1.48,COG0572,Nucleotide transport and metabolism
2579,BT_2528,putative Na+-dependent phosphate transporter,K03324,NA,COG1283,Inorganic ion transport and metabolism
2580,BT_2529,conserved hypothetical protein,K07053,3.1.3.97,COG0613,Nucleotide transport and metabolism
2581,BT_2530,conserved hypothetical protein%2C with a conserved domain,NA,NA,NA,NA
2582,BT_2531,SusC homolog,NA,NA,COG4206,Coenzyme transport and metabolism
2583,BT_2532,SusD homolog,NA,NA,NA,NA
2584,BT_2533,hypothetical protein,NA,NA,NA,NA
2585,BT_2534,Histone-like bacterial DNA-binding protein,NA,NA,NA,NA
2586,BT_2535,conserved hypothetical protein,NA,NA,NA,NA
2587,BT_2536,hypothetical protein,NA,NA,NA,NA
2588,BT_2537,hypothetical protein,NA,NA,NA,NA
2589,BT_2538,conserved hypothetical protein%2C histone-like family,NA,NA,NA,NA
2590,BT_2539,rubredoxin,NA,NA,COG1773,Inorganic ion transport and metabolism
2591,BT_2540,two-component system sensor histidine kinase,NA,NA,COG0642,Signal transduction mechanisms
2592,BT_2541,putative calcium-transporting ATPase,K01537,7.2.2.10,COG0474,Inorganic ion transport and metabolism
2593,BT_2542,putative haloacid dehalogenase-like hydrolase,K20866,3.1.3.10,COG1011,Coenzyme transport and metabolism
2594,BT_2543,riboflavin biosynthesis protein ribF%2C putative riboflavin kinase,K11753,2.7.7.2,COG0196,Coenzyme transport and metabolism
2595,BT_2544,putative metal-dependent membrane protease,K07052,NA,COG1266,"Posttranslational modification, protein turnover, chaperones"
2596,BT_2545,conserved hypothetical protein,NA,NA,NA,NA
2597,BT_2546,transcriptional regulator,K07727,NA,COG3655,Transcription
2598,BT_2547,Fe-S metabolism associated SufE,K02426,NA,COG2166,"Posttranslational modification, protein turnover, chaperones"
2599,BT_2548,leucine aminopeptidase precursor,NA,NA,COG2234,"Posttranslational modification, protein turnover, chaperones"
2600,BT_2549,putative carboxypeptidase,K01297,3.4.17.13,COG1619,Cell wall/membrane/envelope biogenesis
2601,BT_2550,beta-glucanase precursor,NA,NA,COG2273,Carbohydrate transport and metabolism
2602,BT_2551,phosphate butyryltransferase,K00634,2.3.1.19,COG0280,Energy production and conversion
2603,BT_2552,putative butyrate kinase,K00929,2.7.2.7,COG3426,Energy production and conversion
2604,BT_2553,conserved hypothetical protein,NA,NA,NA,NA
2605,BT_2554,putative DNA-binding protein,NA,NA,NA,NA
2606,BT_2555,hypothetical protein,NA,NA,NA,NA
2607,BT_2556,conserved hypothetical protein,K07483,NA,NA,NA
2608,BT_2557,transposase,NA,NA,COG2801,"Mobilome: prophages, transposons"
2609,BT_2558,transposase,NA,NA,NA,NA
2610,BT_2559,SusD homolog,NA,NA,NA,NA
2611,BT_2560,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
2612,BT_2561,putative anti-sigma factor,NA,NA,COG3712,Signal transduction mechanisms
2613,BT_2562,putative RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
2614,BT_2563,polyribonucleotide nucleotidyltransferase,K00962,2.7.7.8,COG1185,"Translation, ribosomal structure and biogenesis"
2615,BT_2564,conserved hypothetical protein,NA,NA,COG1225,"Posttranslational modification, protein turnover, chaperones"
2616,BT_2565,transcription elongation factor greA,K03624,NA,COG0782,Transcription
2617,BT_2566,HIT family protein,K02503,NA,COG0537,Nucleotide transport and metabolism
2618,BT_2567,putative permease,NA,NA,COG0697,Carbohydrate transport and metabolism
2619,BT_2568,putative sugar transporter,NA,NA,COG2807,Inorganic ion transport and metabolism
2620,BT_2569,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
2621,BT_2570,glutamate decarboxylase,K01580,4.1.1.15,COG0076,Amino acid transport and metabolism
2622,BT_2571,putative glutaminase,K01425,3.5.1.2,COG2066,Amino acid transport and metabolism
2623,BT_2572,putative potassium channel subunit,NA,NA,NA,NA
2624,BT_2573,glutamate/gamma-aminobutyrate anti-porter,K20265,NA,COG0531,Amino acid transport and metabolism
2625,BT_2574,two-component system sensor histidine kinase,NA,NA,COG0642,Signal transduction mechanisms
2626,BT_t40,tRNA-Phe,K14231,NA,NA,NA
2627,BT_2575,hypothetical protein,NA,NA,NA,NA
2628,BT_2576,transposase,NA,NA,COG4974,"Replication, recombination and repair"
2629,BT_2577,Peptidase%2C trypsin-like serine and cysteine,NA,NA,NA,NA
2630,BT_2578,Beta-lactamase-like protein,NA,NA,COG2333,"Intracellular trafficking, secretion, and vesicular transport"
2631,BT_2579,conserved hypothetical protein,NA,NA,NA,NA
2632,BT_2580,hypothetical protein,NA,NA,NA,NA
2633,BT_2581,hypothetical protein,NA,NA,NA,NA
2634,BT_2582,conserved hypothetical protein,NA,NA,NA,NA
2635,BT_2583,hypothetical protein,NA,NA,NA,NA
2636,BT_2584,hypothetical protein,NA,NA,NA,NA
2637,BT_2585,hypothetical protein,NA,NA,NA,NA
2638,BT_2586,hypothetical protein,NA,NA,NA,NA
2639,BT_2587,hypothetical protein,NA,NA,NA,NA
2640,BT_2588,conserved hypothetical protein,NA,NA,NA,NA
2641,BT_2589,type I restriction enzyme%2C M subunit,K03427,2.1.1.72,COG0286,Defense mechanisms
2642,BT_2590,hypothetical protein,NA,NA,NA,NA
2643,BT_2591,hypothetical protein,NA,NA,NA,NA
2644,BT_2592,hypothetical protein,NA,NA,NA,NA
2645,BT_2593,conserved protein found in conjugate transposon,NA,NA,NA,NA
2646,BT_2594,conserved protein found in conjugate transposon,NA,NA,NA,NA
2647,BT_2595,conserved protein found in conjugate transposon,NA,NA,NA,NA
2648,BT_2596,conserved protein found in conjugate transposon,NA,NA,NA,NA
2649,BT_2597,hypothetical protein,NA,NA,NA,NA
2650,BT_2598,conserved protein found in conjugate transposon,NA,NA,NA,NA
2651,BT_2599,conserved protein found in conjugate transposon,NA,NA,NA,NA
2652,BT_2600,conserved protein found in conjugate transposon,NA,NA,NA,NA
2653,BT_2601,conserved protein found in conjugate transposon,NA,NA,NA,NA
2654,BT_2602,putative maturase/reverse transcriptase,NA,NA,COG3344,"Mobilome: prophages, transposons"
2655,BT_2603,conserved protein found in conjugate transposon,NA,NA,COG3451,"Intracellular trafficking, secretion, and vesicular transport"
2656,BT_2604,conserved protein found in conjugate transposon,NA,NA,NA,NA
2657,BT_2605,hypothetical protein,NA,NA,NA,NA
2658,BT_2606,conserved hypothetical protein,NA,NA,COG4804,General function prediction only
2659,BT_2607,hypothetical protein,NA,NA,NA,NA
2660,BT_2608,conserved hypothetical protein,NA,NA,NA,NA
2661,BT_2609,conserved protein found in conjugate transposon,NA,NA,COG1192,"Cell cycle control, cell division, chromosome partitioning"
2662,BT_2610,hypothetical protein,NA,NA,NA,NA
2663,BT_2611,hypothetical protein,NA,NA,NA,NA
2664,BT_2612,conserved hypothetical protein,NA,NA,NA,NA
2665,BT_2613,putative mobilization protein,NA,NA,NA,NA
2666,BT_2614,putative mobilization protein,NA,NA,COG3505,"Intracellular trafficking, secretion, and vesicular transport"
2667,BT_2615,reverse transcriptase,NA,NA,COG3344,"Mobilome: prophages, transposons"
2668,BT_2616,hypothetical protein,NA,NA,NA,NA
2669,BT_2617,reverse transcriptase,NA,NA,COG3344,"Mobilome: prophages, transposons"
2670,BT_2618,two-component system response regulator,K07713,NA,COG2204,Signal transduction mechanisms
2671,BT_2619,two-component system sensor histidine kinase,NA,NA,COG2204,Signal transduction mechanisms
2672,BT_2620,alpha-glucosidase,K01187,3.2.1.20,NA,NA
2673,BT_2621,putative O-antigen related protein,NA,NA,COG2755,"Cell cycle control, cell division, chromosome partitioning"
2674,BT_2622,alpha-glucuronidase,K01235,3.2.1.139,COG3661,Carbohydrate transport and metabolism
2675,BT_2623,putative alpha-1%2C6-mannanase,NA,NA,COG4833,Carbohydrate transport and metabolism
2676,BT_2624,hypothetical protein,NA,NA,NA,NA
2677,BT_2625,SusD homolog,NA,NA,NA,NA
2678,BT_2626,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
2679,BT_2627,putative cell surface protein%2C have conserved domain,NA,NA,NA,NA
2680,BT_2628,two-component system sensor histidine kinase/response regulator%2C hybrid (one-component system),NA,NA,COG3706,Transcription
2681,BT_2629,putative alpha-1%2C2-mannosidase,NA,NA,COG3537,Carbohydrate transport and metabolism
2682,BT_2630,conserved hypothetical protein with endonuclease/exonuclease/phosphatase family domain,NA,NA,COG3568,General function prediction only
2683,BT_2631,glycoside hydrolase family 73,NA,NA,COG4833,Carbohydrate transport and metabolism
2684,BT_2632,conserved hypothetical protein,K09704,NA,COG3538,Function unknown
2685,BT_2633,hypothetical protein,NA,NA,NA,NA
2686,BT_2634,putative integrase/recombinase,NA,NA,COG4974,"Replication, recombination and repair"
2687,BT_2635,putative integrase/recombinase,NA,NA,NA,NA
2688,BT_2636,DNA breaking-rejoining enzyme%2C catalytic core,NA,NA,NA,NA
2689,BT_2637,hypothetical protein,NA,NA,NA,NA
2690,BT_2638,hypothetical protein,NA,NA,NA,NA
2691,BT_2639,integrase-like protein,NA,NA,COG4974,"Replication, recombination and repair"
2692,BT_2640,hypothetical protein,NA,NA,NA,NA
2693,BT_2641,hypothetical protein,NA,NA,NA,NA
2694,BT_2642,conserved hypothetical protein,NA,NA,NA,NA
2695,BT_2643,conserved hypothetical protein,NA,NA,NA,NA
2696,BT_2644,DNA topoisomerase I,K03169,5.6.2.1,COG0550,"Replication, recombination and repair"
2697,BT_2645,conserved hypothetical protein,NA,NA,NA,NA
2698,BT_2646,conserved hypothetical protein,NA,NA,NA,NA
2699,BT_2647,Peptidase M%2C neutral zinc metallopeptidase%2C zinc-binding site,NA,NA,NA,NA
2700,BT_2648,conserved hypothetical protein,NA,NA,NA,NA
2701,BT_2649,ThiF family protein%2C ubiquitin-activating enzyme,NA,NA,COG0476,Coenzyme transport and metabolism
2702,BT_2650,conserved hypothetical protein,NA,NA,NA,NA
2703,BT_2651,bacterial regulatory protein%2C Me-like protein,NA,NA,NA,NA
2704,BT_2652,Putative DNA binding protein,NA,NA,NA,NA
2705,BT_2653,Putative DNA binding protein,NA,NA,NA,NA
2706,BT_2654,transposase,NA,NA,COG4974,"Replication, recombination and repair"
2707,BT_2655,hypothetical protein,NA,NA,NA,NA
2708,BT_2656,ATPase%2C F complex%2C subunit A,NA,NA,NA,NA
2709,BT_2657,putative lipoprotein,NA,NA,NA,NA
2710,BT_2658,hypothetical protein,NA,NA,NA,NA
2711,BT_2659,conserved hypothetical protein,NA,NA,NA,NA
2712,BT_2660,FimX-like protein,NA,NA,NA,NA
2713,BT_2661,hypothetical protein,NA,NA,NA,NA
2714,BT_t41,tRNA-Pro,K14232,NA,NA,NA
2715,BT_2662,alpha-galactosidase precursor,NA,NA,COG3345,Carbohydrate transport and metabolism
2716,BT_2663,tetratricopeptide repeat family protein,NA,NA,NA,NA
2717,BT_2664,putative phosphate ABC transporter%2C phosphate-binding component,NA,NA,COG0226,Inorganic ion transport and metabolism
2718,BT_2665,TonB,K03832,NA,COG0810,Cell wall/membrane/envelope biogenesis
2719,BT_2666,conserved hypothetical protein,NA,NA,NA,NA
2720,BT_2667,conserved hypothetical protein,NA,NA,COG0848,"Intracellular trafficking, secretion, and vesicular transport"
2721,BT_2668,MotA/TolQ/ExbB proton channel,K03561,NA,COG0811,"Intracellular trafficking, secretion, and vesicular transport"
2722,BT_2669,conserved hypothetical protein,NA,NA,NA,NA
2723,BT_r10,5S ribosomal RNA,K01985,NA,NA,NA
2724,BT_2671,hypothetical protein,NA,NA,NA,NA
2725,BT_r11,23S ribosomal RNA,K01980,NA,NA,NA
2726,BT_t42,tRNA-Ala,K14218,NA,NA,NA
2727,BT_t43,tRNA-Ile,K14227,NA,NA,NA
2728,BT_r12,16S ribosomal RNA,K01977,NA,NA,NA
2729,BT_2672,hypothetical protein,NA,NA,NA,NA
2730,BT_2673,hypothetical protein,NA,NA,NA,NA
2731,BT_2674,transposase,NA,NA,COG2801,"Mobilome: prophages, transposons"
2732,BT_2675,hypothetical protein,NA,NA,NA,NA
2733,BT_2676,conserved hypothetical protein,NA,NA,NA,NA
2734,BT_2676a,Hypothetical protein,NA,NA,NA,NA
2735,BT_2677,hypothetical protein,NA,NA,NA,NA
2736,BT_2678,hypothetical protein,NA,NA,NA,NA
2737,BT_2679,putative ion-channel protein%2C putative oxidoreductase,K19265,NA,COG0667,Coenzyme transport and metabolism
2738,BT_2680,beta-galactosidase,NA,NA,COG3250,Carbohydrate transport and metabolism
2739,BT_2681,alginate O-acetylation protein,NA,NA,COG1696,Cell wall/membrane/envelope biogenesis
2740,BT_2682,putative periplasmic protein,NA,NA,COG2755,"Cell cycle control, cell division, chromosome partitioning"
2741,BT_2683,putative periplasmic protein,NA,NA,NA,NA
2742,BT_2684,hypothetical protein,NA,NA,NA,NA
2743,BT_2685,conserved hypothetical protein,NA,NA,NA,NA
2744,BT_2686,putative cation efflux transporter,K03296,NA,COG0841,Defense mechanisms
2745,BT_2687,cation efflux system protein,NA,NA,COG0845,Defense mechanisms
2746,BT_2688,outer membrane efflux protein,NA,NA,COG1538,Cell wall/membrane/envelope biogenesis
2747,BT_2689,putative TetR transcriptional regulator,NA,NA,COG1309,Transcription
2748,BT_2690,histidine ammonia-lyase,K01745,4.3.1.3,COG2986,Amino acid transport and metabolism
2749,BT_2691,methenyltetrahydrofolate cyclohydrolase,K01500,3.5.4.9,COG3404,Amino acid transport and metabolism
2750,BT_2692,imidazolonepropionase,K01468,3.5.2.7,COG1228,"Secondary metabolites biosynthesis, transport and catabolism"
2751,BT_2693,formiminotransferase-cyclodeaminase,K00603,6.3.3.2,COG3643,Amino acid transport and metabolism
2752,BT_2694,putative urocanate hydratase,K01712,4.2.1.49,COG2987,Amino acid transport and metabolism
2753,BT_2695,conserved hypothetical protein,NA,NA,NA,NA
2754,BT_2696,hypothetical protein,NA,NA,NA,NA
2755,BT_2697,DNA mismatch repair protein mutS,NA,NA,COG0249,"Replication, recombination and repair"
2756,BT_2698,conserved hypothetical protein,NA,NA,NA,NA
2757,BT_2699,conserved hypothetical protein,NA,NA,NA,NA
2758,BT_2700,50S ribosomal protein L17,K02879,NA,COG0203,"Translation, ribosomal structure and biogenesis"
2759,BT_2701,DNA-directed RNA polymerase alpha chain,K03040,2.7.7.6,COG0202,Transcription
2760,BT_2702,30S ribosomal protein S4,K02986,NA,COG0522,"Translation, ribosomal structure and biogenesis"
2761,BT_2703,30S ribosomal protein S11,K02948,NA,COG0100,"Translation, ribosomal structure and biogenesis"
2762,BT_2704,30S ribosomal protein S13,K02952,NA,COG0099,"Translation, ribosomal structure and biogenesis"
2763,BT_2705,translation initiation factor IF-1,K02518,NA,COG0361,"Translation, ribosomal structure and biogenesis"
2764,BT_2706,methionine aminopeptidase,K01265,3.4.11.18,COG0024,"Translation, ribosomal structure and biogenesis"
2765,BT_2707,preprotein translocase SecY subunit,K03076,NA,COG0201,"Intracellular trafficking, secretion, and vesicular transport"
2766,BT_2708,50S ribosomal protein L15,K02876,NA,COG0200,"Translation, ribosomal structure and biogenesis"
2767,BT_2709,50S ribosomal protein L30,K02907,NA,COG1841,"Translation, ribosomal structure and biogenesis"
2768,BT_2710,30S ribosomal protein S5,K02988,NA,COG0098,"Translation, ribosomal structure and biogenesis"
2769,BT_2711,50S ribosomal protein L18,K02881,NA,COG0256,"Translation, ribosomal structure and biogenesis"
2770,BT_2712,50S ribosomal protein L6,K02933,NA,COG0097,"Translation, ribosomal structure and biogenesis"
2771,BT_2713,30S ribosomal protein S8,K02994,NA,COG0096,"Translation, ribosomal structure and biogenesis"
2772,BT_2714,chloroplast-like 30S ribosomal protein S14,K02954,NA,COG0199,"Translation, ribosomal structure and biogenesis"
2773,BT_2715,50S ribosomal protein L5,K02931,NA,COG0094,"Translation, ribosomal structure and biogenesis"
2774,BT_2716,50S ribosomal protein L24,K02895,NA,COG0198,"Translation, ribosomal structure and biogenesis"
2775,BT_2717,50S ribosomal protein L14,K02874,NA,COG0093,"Translation, ribosomal structure and biogenesis"
2776,BT_2718,30S ribosomal protein S17,K02961,NA,COG0186,"Translation, ribosomal structure and biogenesis"
2777,BT_2719,50S ribosomal protein L29,K02904,NA,NA,NA
2778,BT_2720,50S ribosomal protein L16,K02878,NA,COG0197,"Translation, ribosomal structure and biogenesis"
2779,BT_2721,30S ribosomal protein S3,K02982,NA,COG0092,"Translation, ribosomal structure and biogenesis"
2780,BT_2722,50S ribosomal protein L22,K02890,NA,COG0091,"Translation, ribosomal structure and biogenesis"
2781,BT_2723,30S ribosomal protein S19,K02965,NA,COG0185,"Translation, ribosomal structure and biogenesis"
2782,BT_2724,50S ribosomal protein L2,K02886,NA,COG0090,"Translation, ribosomal structure and biogenesis"
2783,BT_2725,50S ribosomal protein L23,K02892,NA,COG0089,"Translation, ribosomal structure and biogenesis"
2784,BT_2726,50S ribosomal protein L4,K02926,NA,COG0088,"Translation, ribosomal structure and biogenesis"
2785,BT_2727,50S ribosomal protein L3,K02906,NA,COG0087,"Translation, ribosomal structure and biogenesis"
2786,BT_2728,30S ribosomal protein S10,K02946,NA,COG0051,"Translation, ribosomal structure and biogenesis"
2787,BT_2729,elongation factor G,K02355,NA,COG0480,"Translation, ribosomal structure and biogenesis"
2788,BT_2730,30S ribosomal protein S7,K02992,NA,COG0049,"Translation, ribosomal structure and biogenesis"
2789,BT_2731,30S ribosomal protein S12,K02950,NA,COG0048,"Translation, ribosomal structure and biogenesis"
2790,BT_2732,conserved hypothetical protein,NA,NA,NA,NA
2791,BT_2733,DNA-directed RNA polymerase beta' chain,K03046,2.7.7.6,COG0086,Transcription
2792,BT_2734,DNA-directed RNA polymerase beta chain,K03043,2.7.7.6,COG0085,Transcription
2793,BT_2735,50S ribosomal protein L7/L12,K02935,NA,COG0222,"Translation, ribosomal structure and biogenesis"
2794,BT_2736,ribosomal protein L10,K02864,NA,COG0244,"Translation, ribosomal structure and biogenesis"
2795,BT_2737,50S ribosomal protein L1,K02863,NA,COG0081,"Translation, ribosomal structure and biogenesis"
2796,BT_2738,50S ribosomal protein L11,K02867,NA,COG0080,"Translation, ribosomal structure and biogenesis"
2797,BT_2739,transcription anti-termination protein,K02601,NA,COG0250,Transcription
2798,BT_t44,tRNA-Trp,K14235,NA,NA,NA
2799,BT_2740,elongation factor Tu,K02358,NA,COG0050,"Translation, ribosomal structure and biogenesis"
2800,BT_t45,tRNA-Thr,K14234,NA,NA,NA
2801,BT_t46,tRNA-Gly,K14225,NA,NA,NA
2802,BT_t47,tRNA-Tyr,K14236,NA,NA,NA
2803,BT_t48,tRNA-Thr,K14234,NA,NA,NA
2804,BT_2741,sigma-54 modulation protein,K05808,NA,COG1544,"Translation, ribosomal structure and biogenesis"
2805,BT_2742,integrase%2C site-specific recombinase,K03733,NA,COG4974,"Replication, recombination and repair"
2806,BT_2742a,putative ribosomal protein S21,NA,NA,NA,NA
2807,BT_2743,putative aminopeptidase,K01262,3.4.11.9,COG0006,Amino acid transport and metabolism
2808,BT_2744,acetyltransferase,NA,NA,COG0663,General function prediction only
2809,BT_2745,thiol:disulfide interchange protein,NA,NA,COG1225,"Posttranslational modification, protein turnover, chaperones"
2810,BT_2746,thiol:disulfide interchange protein tlpA,NA,NA,COG0526,"Posttranslational modification, protein turnover, chaperones"
2811,BT_2747,3-deoxy-D-manno-octulosonic-acid transferase,K02527,2.4.99.15,COG1519,Cell wall/membrane/envelope biogenesis
2812,BT_2748,glutamyl-tRNA synthetase,K01885,6.1.1.17,COG0008,"Translation, ribosomal structure and biogenesis"
2813,BT_2749,putative membrane-associated HD superfamily hydrolase,K07037,NA,COG1480,Signal transduction mechanisms
2814,BT_2750,putative protein-tyrosine-phosphatase,K25307,3.1.3.48,COG0394,Signal transduction mechanisms
2815,BT_2751,neuramindase-like protein,NA,NA,NA,NA
2816,BT_2752,primosomal protein N' (replication factor Y),K04066,5.6.2.4,COG1198,"Replication, recombination and repair"
2817,BT_2753,putative transmembrane protein,NA,NA,NA,NA
2818,BT_2754,conserved hypothetical protein,NA,NA,NA,NA
2819,BT_2755,aspartate ammonia-lyase,K01744,4.3.1.1,COG1027,Amino acid transport and metabolism
2820,BT_2756,anaerobic C4-dicarboxylate transporter dcuB,K07791,NA,COG2704,Carbohydrate transport and metabolism
2821,BT_2757,L-asparaginase II precursor,K01424,3.5.1.1,COG0252,"Translation, ribosomal structure and biogenesis"
2822,BT_2758,conserved hypothetical protein,NA,NA,NA,NA
2823,BT_2759,conserved hypothetical protein,NA,NA,NA,NA
2824,BT_2760,putative Cobalamin adenosyltransferase,K00798,2.5.1.17,COG2096,Coenzyme transport and metabolism
2825,BT_2761,conserved hypothetical protein%2C O-methyltransferase-like protein,NA,NA,NA,NA
2826,BT_2762,TonB,K03832,NA,COG0810,Cell wall/membrane/envelope biogenesis
2827,BT_2763,transposase,NA,NA,COG3328,"Mobilome: prophages, transposons"
2828,BT_2764,hypothetical protein,NA,NA,NA,NA
2829,BT_2765,hypothetical protein,NA,NA,NA,NA
2830,BT_2766,hypothetical protein,NA,NA,NA,NA
2831,BT_2767,hypothetical protein,NA,NA,NA,NA
2832,BT_2768,hypothetical protein,NA,NA,NA,NA
